params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",6.232014999999997,100,-0.10090151984777694,-0.10000000000000002,-0.11428571428571424,-0.10000000000000002,0.002379770087400475
"{""discount_factor"": 0.1}",52.019019,100,-0.10007812289117249,-0.10000000000000002,-0.10272727272727272,-0.10000000000000002,0.0003947992402079427
"{""discount_factor"": 0.2}",60.61149599999999,100,-0.1001699480189182,-0.10000000000000002,-0.11022727272727272,-0.10000000000000002,0.0010588662148224063
"{""discount_factor"": 0.3}",70.40233700000002,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.4}",84.017911,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.5}",6.775040999999987,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.6}",7.0456140000000005,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.7}",178.42829,100,-0.09916507729363105,-0.10000000000000002,-0.10000000000000002,-0.09261744966442952,0.001211738582219877
"{""discount_factor"": 0.8}",7.932367999999997,100,-0.09997569975823353,-0.10000000000000002,-0.10333333333333333,-0.09597069597069595,0.0010869288906028504
"{""discount_factor"": 0.9}",7.581457,100,-0.10873629057734732,-0.10821934945788156,-0.15000000000000002,-0.08571428571428569,0.012217172997022277
