step,reward,mean,median,std,max,min
0,-0.0905982905982906,-0.0905982905982906,-0.0905982905982906,0.0,-0.0905982905982906,-0.0905982905982906
1,-0.0898148148148148,-0.0902065527065527,-0.0902065527065527,0.00039173789173789497,-0.0898148148148148,-0.0905982905982906
2,-0.08405797101449272,-0.08815702547586605,-0.0898148148148148,0.0029160640349395204,-0.08405797101449272,-0.0905982905982906
3,-0.11232876712328767,-0.09419996088772145,-0.0902065527065527,0.010767022674233998,-0.08405797101449272,-0.11232876712328767
4,-0.11451612903225802,-0.09826319451662877,-0.0905982905982906,0.012600892504354939,-0.08405797101449272,-0.11451612903225802
5,-0.11499999999999998,-0.10105266209719065,-0.10146352886078913,0.013085273790421258,-0.08405797101449272,-0.11499999999999998
6,-0.118,-0.10347371036902055,-0.11232876712328767,0.01348823974469187,-0.08405797101449272,-0.118
7,-0.08624999999999998,-0.10132074657289297,-0.10146352886078913,0.013843330767414754,-0.08405797101449272,-0.118
8,-0.1375,-0.1053406636203493,-0.11232876712328767,0.01730960951743723,-0.08405797101449272,-0.1375
9,-0.07708333333333332,-0.10251493059164771,-0.10146352886078913,0.01848034706998205,-0.07708333333333332,-0.1375
10,-0.08817204301075267,-0.10121103172065725,-0.0905982905982906,0.01809633068659516,-0.07708333333333332,-0.1375
11,-0.07659574468085102,-0.09915975780067339,-0.0902065527065527,0.018613768844637214,-0.07659574468085102,-0.1375
12,-0.1310344827586207,-0.1016116597205155,-0.0905982905982906,0.019798043957470226,-0.07659574468085102,-0.1375
13,-0.11874999999999998,-0.10283582688333581,-0.10146352886078913,0.019581798387396498,-0.07659574468085102,-0.1375
14,-0.08932038834951454,-0.10193479764774774,-0.0905982905982906,0.01921586994595136,-0.07659574468085102,-0.1375
15,-0.09140625000000002,-0.10127676341976351,-0.09100227029914532,0.018779421978497277,-0.07659574468085102,-0.1375
16,-0.08624999999999998,-0.10039283615977741,-0.0905982905982906,0.018558632192564123,-0.07659574468085102,-0.1375
17,-0.09483568075117371,-0.10008410530374387,-0.09100227029914532,0.01808061331538698,-0.07659574468085102,-0.1375
18,-0.07027027027027029,-0.09851495609145579,-0.0905982905982906,0.018815498657860415,-0.07027027027027029,-0.1375
19,-0.14500000000000002,-0.100839208286883,-0.09100227029914532,0.020951435687030277,-0.07027027027027029,-0.14500000000000002
20,-0.10918367346938775,-0.10123656377176417,-0.09140625000000002,0.020523584026476516,-0.07027027027027029,-0.14500000000000002
21,-0.05925925925925928,-0.09932850447574122,-0.09100227029914532,0.021875231359989165,-0.05925925925925928,-0.14500000000000002
22,-0.08641975308641975,-0.09876725441533594,-0.0905982905982906,0.021555749016366508,-0.05925925925925928,-0.14500000000000002
23,-0.07843137254901959,-0.09791992600423945,-0.0902065527065527,0.021489604251156934,-0.05925925925925928,-0.14500000000000002
24,-0.09281045751633986,-0.09771554726472348,-0.0905982905982906,0.021079218754414878,-0.05925925925925928,-0.14500000000000002
