episode,length,time,reward,delta
0,500.0,0.04797599999983504,-3471.0,-0.37002841119999896
1,500.0,0.04740200000014738,-4065.0,-0.027388630738359954
2,214.0,0.02030399999966903,-906.0,100.0
3,24.0,0.0023860000001150183,76.0,10.0
4,82.0,0.007872000000133994,-180.0,1.0
5,54.0,0.005205999999816413,-152.0,0.09999999999999432
6,79.0,0.007568999999421067,-276.0,0.010000000000005116
7,77.0,0.007411000000502099,-373.0,0.0010000000000047748
8,155.0,0.01469100000031176,-1045.0,0.00010000000000331966
9,90.0,0.008611999999629916,-881.0,1.0000000003174137e-05
10,233.0,0.022417000000132248,-1816.0,9.999999974752427e-07
11,254.0,0.024128000000928296,-1738.0,9.999999406318238e-08
12,189.0,0.018039000000499072,-1178.0,9.999993721976352e-09
13,98.0,0.009374000001116656,-493.0,1.0000036354540498e-09
14,17.0,0.001711000000796048,83.0,1.000017846308765e-10
15,134.0,0.012726999999358668,-727.0,1.000444171950221e-11
16,18.0,0.0018069999987346819,82.0,9.947598300641403e-13
17,104.0,0.009962000000086846,-697.0,9.947598300641403e-14
18,55.0,0.005455000000438304,-54.0,1.4210854715202004e-14
19,113.0,0.01078100000086124,-508.0,0.0
20,18.0,0.001830000001064036,82.0,0.0
21,71.0,0.0068000000010215444,-169.0,0.0
22,71.0,0.0067910000016127015,-466.0,0.0
23,92.0,0.00880700000016077,-190.0,0.0
24,43.0,0.004152999999860185,-141.0,0.0
25,106.0,0.010073999999804073,-600.0,0.0
26,105.0,0.009933000001183245,-599.0,0.0
27,22.0,0.0022349999999278225,78.0,0.0
28,50.0,0.004790999999386258,-148.0,0.0
29,30.0,0.0029180000001360895,-29.0,0.0
30,16.0,0.0016220000015891856,84.0,0.0
31,23.0,0.002265000000988948,-22.0,0.0
32,51.0,0.004898000001048786,-50.0,0.0
33,74.0,0.0070770000002085,-271.0,0.0
34,60.0,0.00573900000017602,-59.0,0.0
35,59.0,0.0056459999996150145,-355.0,0.0
36,46.0,0.004431999999724212,-144.0,0.0
37,20.0,0.0019969999993918464,80.0,0.0
38,32.0,0.003141999999570544,68.0,0.0
39,122.0,0.011604999999690335,-814.0,0.0
40,45.0,0.004339999999501742,-44.0,0.0
41,18.0,0.001795000000129221,82.0,0.0
42,15.0,0.0015179999991232762,85.0,0.0
43,20.0,0.0019960000008723,80.0,0.0
44,36.0,0.0035029999999096617,64.0,0.0
45,31.0,0.0030179999994288664,-30.0,0.0
46,45.0,0.0043549999991228106,-143.0,0.0
47,18.0,0.0018070000005536713,82.0,0.0
48,47.0,0.004560999999739579,-343.0,0.0
49,125.0,0.01199799999994866,-520.0,0.0
50,25.0,0.002457999999023741,75.0,0.0
51,105.0,0.010027000000263797,-599.0,0.0
52,135.0,0.012800999998944462,-827.0,0.0
53,18.0,0.0017919999991136137,82.0,0.0
54,32.0,0.0031120000003284076,-31.0,0.0
55,95.0,0.008980000000519794,-589.0,0.0
56,48.0,0.00465999999869382,-245.0,0.0
57,47.0,0.004496000001381617,-46.0,0.0
58,45.0,0.004423000000315369,-242.0,0.0
59,100.0,0.009460999999646447,-495.0,0.0
60,65.0,0.006224000000656815,-361.0,0.0
61,66.0,0.006300000000919681,-461.0,0.0
62,149.0,0.014087000001381966,-643.0,0.0
63,71.0,0.006794999999328866,-169.0,0.0
64,16.0,0.0016030000006139744,84.0,0.0
65,17.0,0.0017070000012608944,83.0,0.0
66,36.0,0.003479999999399297,-35.0,0.0
67,39.0,0.003921000001355424,-38.0,0.0
68,20.0,0.002003000001423061,80.0,0.0
69,19.0,0.0018980000004376052,81.0,0.0
70,25.0,0.002451999998811516,75.0,0.0
71,43.0,0.004150000000663567,-42.0,0.0
72,51.0,0.004874000000199885,-149.0,0.0
73,63.0,0.006011999999827822,-161.0,0.0
74,96.0,0.009083999999347725,-392.0,0.0
75,77.0,0.007311999999728869,-274.0,0.0
76,14.0,0.0014119999996182742,86.0,0.0
77,18.0,0.0017879999995784601,82.0,0.0
78,16.0,0.0016120000000228174,84.0,0.0
79,16.0,0.001600999999936903,84.0,0.0
80,136.0,0.012815000000045984,-630.0,0.0
81,59.0,0.0056300000014744,-157.0,0.0
82,17.0,0.0017059999991033692,83.0,0.0
83,16.0,0.0016109999996842816,84.0,0.0
84,42.0,0.004039000001284876,-41.0,0.0
85,16.0,0.001607000000149128,84.0,0.0
86,17.0,0.0017090000001189765,83.0,0.0
87,39.0,0.0037539999993896345,-38.0,0.0
88,16.0,0.0016099999993457459,84.0,0.0
89,18.0,0.0018239999990328215,82.0,0.0
90,68.0,0.00644800000009127,-265.0,0.0
91,47.0,0.004506999999648542,-46.0,0.0
92,15.0,0.0015129999992495868,85.0,0.0
93,15.0,0.0015139999995881226,85.0,0.0
94,48.0,0.004609999999956926,-47.0,0.0
95,73.0,0.0069149999999353895,-270.0,0.0
96,62.0,0.005903999999645748,-160.0,0.0
97,18.0,0.0021950000009383075,82.0,0.0
98,17.0,0.0017250000000785803,83.0,0.0
99,20.0,0.0020309999999881256,80.0,0.0
100,15.0,0.00156299999980547,85.0,0.0
101,33.0,0.0032310000005963957,-32.0,0.0
102,18.0,0.0018019999988609925,82.0,0.0
103,38.0,0.0036639999998442363,-37.0,0.0
104,15.0,0.0015280000006896444,85.0,0.0
105,23.0,0.0022730000000592554,77.0,0.0
106,16.0,0.001614000000699889,84.0,0.0
107,16.0,0.0016109999996842816,84.0,0.0
108,15.0,0.0015170000006037299,85.0,0.0
109,20.0,0.0019940000001952285,80.0,0.0
110,16.0,0.0015989999992598314,84.0,0.0
111,43.0,0.004139999999097199,-42.0,0.0
112,29.0,0.002833999998983927,71.0,0.0
113,35.0,0.0033789999997679843,-34.0,0.0
114,33.0,0.0031989999988581985,-32.0,0.0
115,15.0,0.0015210000001388835,85.0,0.0
116,18.0,0.0017979999993258389,82.0,0.0
117,15.0,0.0015089999997144332,85.0,0.0
118,17.0,0.0017199999983859016,83.0,0.0
119,41.0,0.003975999999966007,-139.0,0.0
120,38.0,0.003681000000142376,-37.0,0.0
121,33.0,0.003209999998944113,-32.0,0.0
122,19.0,0.0019250000004831236,81.0,0.0
123,34.0,0.0032920000012381934,-33.0,0.0
124,18.0,0.0018049999998765998,82.0,0.0
125,22.0,0.002427999999781605,-21.0,0.0
126,17.0,0.0017179999995278195,83.0,0.0
127,22.0,0.0021800000013172394,-21.0,0.0
128,32.0,0.0031060000001161825,68.0,0.0
129,112.0,0.011050999999497435,-507.0,0.0
130,17.0,0.0017139999999926658,83.0,0.0
131,72.0,0.0069679999996878905,-269.0,0.0
132,14.0,0.001432000000932021,86.0,0.0
133,44.0,0.004230999998981133,-142.0,0.0
134,17.0,0.0017049999987648334,83.0,0.0
135,22.0,0.002184000000852393,78.0,0.0
136,23.0,0.002330999999685446,77.0,0.0
137,39.0,0.0037699999993492384,-137.0,0.0
138,60.0,0.0057589999996707775,-257.0,0.0
139,30.0,0.0029269999995449325,-29.0,0.0
140,18.0,0.0017960000004677568,82.0,0.0
141,48.0,0.004596000000674394,-47.0,0.0
142,19.0,0.0018829999989975477,81.0,0.0
143,31.0,0.0030079999996814877,-129.0,0.0
144,15.0,0.001518999999461812,85.0,0.0
145,14.0,0.001421999999365653,86.0,0.0
146,74.0,0.00705999999991036,-172.0,0.0
147,77.0,0.007327999999688473,-472.0,0.0
148,14.0,0.0014359999986481853,86.0,0.0
149,16.0,0.001611000001503271,84.0,0.0
150,17.0,0.001704000000245287,83.0,0.0
151,52.0,0.005026000000725617,-150.0,0.0
152,63.0,0.006024000000252272,-260.0,0.0
153,18.0,0.0018010000003414461,82.0,0.0
154,20.0,0.0019910000009986106,80.0,0.0
155,17.0,0.0016990000003715977,83.0,0.0
156,33.0,0.003193000000464963,-32.0,0.0
157,17.0,0.001704000000245287,83.0,0.0
158,14.0,0.0014209999990271172,86.0,0.0
159,20.0,0.0019780000002356246,80.0,0.0
