params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",28.663994999999886,100,-0.10330380222221754,-0.10301003344481605,-0.11249999999999999,-0.10000000000000002,0.002085905594862116
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",25.63318900000013,100,-0.10378201183447772,-0.10333333333333333,-0.11184210526315787,-0.10000000000000002,0.002175234040308952
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",24.910792000000583,100,-0.10366145761583763,-0.10291265186426476,-0.11232876712328767,-0.10000000000000002,0.002522286775296588
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",21.117777999999817,100,-0.10468012883892737,-0.10399130742605414,-0.12195121951219512,-0.1010688836104513,0.0030988306453283653
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",18.113632999999936,100,-0.10920829480447908,-0.10818181818181817,-0.1272727272727273,-0.10120967741935484,0.004935556677693566
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",13.10625600000003,100,-0.11973641530819419,-0.1148851831601968,-0.1642857142857143,-0.10436893203883495,0.013332890800387994
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",40.01213999999982,100,-0.10136324201700386,-0.10000000000000002,-0.11216216216216215,-0.10000000000000002,0.0023721245602758437
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",41.41954599999917,100,-0.10025773330540205,-0.10000000000000002,-0.10430622009569378,-0.10000000000000002,0.0007559281496385658
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",35.81030800000008,100,-0.10121330263451772,-0.10116302560292509,-0.10481283422459892,-0.10000000000000002,0.0012220725054596956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",34.31535799999983,100,-0.10174696499604183,-0.10154909465800824,-0.10532544378698223,-0.10000000000000002,0.0011230184495814605
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",30.984003000000484,100,-0.10236617480398086,-0.10215315934065936,-0.10671641791044774,-0.10000000000000002,0.0014508372319956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",30.28311500000018,100,-0.10301248133117616,-0.1025623268698061,-0.1115384615384615,-0.10096153846153848,0.0017660828242220534
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",26.62818100000004,100,-0.1037232754120948,-0.10326679841897232,-0.11956521739130431,-0.10000000000000002,0.002444291707325093
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",22.29152300000078,100,-0.10558186648959088,-0.10491803278688522,-0.11428571428571424,-0.10119205298013244,0.0029505902341730684
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",17.939108999999917,100,-0.10770780421794303,-0.10636050344620915,-0.12368421052631581,-0.10117187499999998,0.004556941681437516
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.7886869999993,100,-0.1152082588166831,-0.1134328358208955,-0.14285714285714288,-0.1038961038961039,0.008548676193564262
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",37.290703000000576,100,-0.10190327747300701,-0.10000000000000002,-0.13000000000000003,-0.10000000000000002,0.004840299808774352
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",39.07990999999947,100,-0.1004433863169157,-0.10000000000000002,-0.10463917525773195,-0.10000000000000002,0.0010053007117493615
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",34.53255699999954,100,-0.1013224164345266,-0.10114577863352586,-0.10687022900763357,-0.10000000000000002,0.0014018775977082674
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",32.32742899999994,100,-0.10153853084280154,-0.10137091347827094,-0.10737704918032788,-0.10000000000000002,0.0012503276615926946
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",30.183921000000737,100,-0.10318468970026563,-0.10299541467304624,-0.10762711864406779,-0.10103092783505155,0.0016437619933965732
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",28.39665799999966,100,-0.10392940720635126,-0.10350194552529184,-0.11022727272727272,-0.10106635071090049,0.0018700327241833504
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",25.430907000000843,100,-0.10323688445138021,-0.10272727272727272,-0.11168831168831166,-0.10000000000000002,0.0020340430183217136
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",22.042099000000235,100,-0.10594618127707225,-0.105679646440516,-0.11607142857142858,-0.10131771595900438,0.003025087814432703
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",18.526536999999735,100,-0.10361180572936939,-0.10269470740103269,-0.11666666666666663,-0.10000000000000002,0.0026489673699782268
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.688065999999708,100,-0.1362829343631638,-0.12278846153846155,-0.27999999999999997,-0.10535714285714286,0.035971965739067274
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",36.52540300000055,100,-0.10188255063568331,-0.1012049574778876,-0.11525423728813558,-0.10000000000000002,0.0029048212751587666
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",38.25869599999987,100,-0.10030782694570645,-0.10000000000000002,-0.10466321243523316,-0.10000000000000002,0.000819939162333328
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",32.05036700000073,100,-0.10205959617557697,-0.10172579257396255,-0.10833333333333332,-0.10000000000000002,0.0017665141842248078
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",30.191201999999976,100,-0.10170673178945032,-0.10138944810416095,-0.1072,-0.10000000000000002,0.0016061859982853136
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",29.188457999999628,100,-0.10254300759474758,-0.10192198995359693,-0.11216216216216215,-0.10000000000000002,0.0025157356620204145
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",26.35334800000055,100,-0.10249967146357417,-0.10204780542353928,-0.10978260869565215,-0.10000000000000002,0.00169607957209408
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",23.71471400000064,100,-0.10406197910192416,-0.10355731225296443,-0.11451612903225802,-0.10000000000000002,0.0027375863255464923
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",20.77596100000028,100,-0.10630304099308663,-0.10535790219702337,-0.1183673469387755,-0.10162162162162161,0.0035106471846529244
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",17.795712999999523,100,-0.10830020063088729,-0.10654969831692598,-0.13913043478260873,-0.101747572815534,0.006213170711481432
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.930803000000196,100,-0.1232656227457368,-0.11578947368421053,-0.2285714285714286,-0.10329670329670328,0.023093846870490778
