step,reward,mean,median,std,max,min
0,-0.09551020408163266,-0.09551020408163266,-0.09551020408163266,0.0,-0.09551020408163266,-0.09551020408163266
1,-0.09009009009009007,-0.09280014708586137,-0.09280014708586137,0.002710056995771294,-0.09009009009009007,-0.09551020408163266
2,-0.09627118644067795,-0.09395716020413357,-0.09551020408163266,0.0027520231331259757,-0.09009009009009007,-0.09627118644067795
3,-0.096583850931677,-0.09461383288601942,-0.0958906952611553,0.002640810581497826,-0.09009009009009007,-0.096583850931677
4,-0.09225352112676055,-0.09414177053416764,-0.09551020408163266,0.0025437130101534687,-0.09009009009009007,-0.096583850931677
5,-0.08450704225352108,-0.09253598248739321,-0.0938818626041966,0.004276077582025942,-0.08450704225352108,-0.096583850931677
6,-0.08962264150943396,-0.09211979091911333,-0.09225352112676055,0.004088032789712198,-0.08450704225352108,-0.096583850931677
7,-0.09591078066914498,-0.09259366463786728,-0.0938818626041966,0.004024289339476197,-0.08450704225352108,-0.096583850931677
8,-0.09414893617021275,-0.09276647258590567,-0.09414893617021275,0.0038254897109861953,-0.08450704225352108,-0.096583850931677
9,-0.08971962616822429,-0.09246178794413754,-0.09320122864848665,0.0037425163933294293,-0.08450704225352108,-0.096583850931677
10,-0.08942307692307692,-0.09218554148767746,-0.09225352112676055,0.0036737226730232534,-0.08450704225352108,-0.096583850931677
11,-0.09312499999999999,-0.09226382969703767,-0.09268926056338027,0.0035268925750677176,-0.08450704225352108,-0.096583850931677
12,-0.09533898305084745,-0.09250037995502304,-0.09312499999999999,0.0034862013122404652,-0.08450704225352108,-0.096583850931677
13,-0.0910569105691057,-0.09239727499888609,-0.09268926056338027,0.003379894014435463,-0.08450704225352108,-0.096583850931677
14,-0.09798165137614677,-0.09276956675737012,-0.09312499999999999,0.0035500029286824847,-0.08450704225352108,-0.09798165137614677
15,-0.09633333333333333,-0.09299230216836785,-0.09363696808510637,0.0035438720622696777,-0.08450704225352108,-0.09798165137614677
