steps,time,reward,delta,converged
1,0.03728199999932258,-5.959866220735786,100.0,False
2,0.04994000000078813,-7.916167664670659,100.0,False
3,0.014547000000675325,-4.222222222222222,100.0,False
4,0.023694999999861466,-9.059782608695652,100.0,False
5,0.004232999999658205,-0.9545454545454546,100.0,False
6,0.017072999999072636,-4.838888888888889,100.0,False
7,0.002440000000206055,3.04,100.0,False
8,0.004762000000482658,-2.94,100.0,False
9,0.0025990000012825476,2.740740740740741,100.0,False
10,0.002345999999306514,3.2083333333333335,100.0,False
11,0.00951600000007602,-7.91,100.0,False
12,0.005911000000196509,0.6290322580645161,100.0,False
13,0.008234999999331194,-2.1149425287356323,100.0,False
14,0.00927400000000489,-3.0,100.0,False
15,0.005011999999624095,-2.8653846153846154,100.0,False
16,0.006916000000273925,-3.684931506849315,100.0,False
17,0.0194549999996525,-5.336585365853659,100.0,False
18,0.0024969999994937098,2.8846153846153846,100.0,False
19,0.0027740000004996546,2.4827586206896552,100.0,False
20,0.0031490000001213048,-0.9393939393939394,100.0,False
21,0.006019000000378583,-2.5901639344262297,100.0,False
22,0.0017760000009729993,4.611111111111111,100.0,False
23,0.004240999998728512,-0.9459459459459459,100.0,False
24,0.011437999999543536,-3.6106194690265485,100.0,False
25,0.0020260000001144363,3.8095238095238093,100.0,False
26,0.004695999999967171,-2.979591836734694,100.0,False
27,0.0034219999997731065,-0.9444444444444444,100.0,False
28,0.0038110000004962785,-0.95,100.0,False
29,0.004364000000350643,-5.260869565217392,100.0,False
30,0.004252000000633416,-0.9555555555555556,100.0,False
31,0.002383999999437947,3.04,100.0,False
32,0.0024779999985184986,2.8846153846153846,100.0,False
33,0.0028430000002117595,2.3666666666666667,100.0,False
34,0.005446000001029461,-4.5,100.0,False
35,0.008191999999326072,-4.390804597701149,100.0,False
36,0.008926000000428758,-5.147368421052631,100.0,False
37,0.00265899999976682,2.607142857142857,100.0,False
38,0.00473499999861815,-0.96,100.0,False
39,0.002043000000412576,3.8095238095238093,100.0,False
40,0.0035159999988536583,-0.9459459459459459,100.0,False
41,0.0017189999998663552,4.611111111111111,100.0,False
42,0.0019170000014128163,4.05,100.0,False
43,0.0043619999996735714,-5.260869565217392,100.0,False
44,0.00733100000070408,-6.116883116883117,100.0,False
45,0.004753999999593361,-2.94,100.0,False
46,0.0016390000000683358,-0.8823529411764706,100.0,False
47,0.0017390000011801021,4.611111111111111,100.0,False
48,0.001824000000851811,4.315789473684211,100.0,False
49,0.003033000000868924,2.15625,100.0,False
50,0.011764000000766828,-4.152,100.0,False
51,0.0019100000008620555,4.05,100.0,False
52,0.003794000000198139,-3.425,100.0,False
53,0.002088999999614316,3.590909090909091,100.0,False
54,0.0039900000010675285,-0.9523809523809523,100.0,False
55,0.010835000000952277,-5.28695652173913,100.0,False
56,0.0017279999992751982,4.611111111111111,100.0,False
57,0.002282999999806634,3.2083333333333335,100.0,False
58,0.0022939999998925487,3.2083333333333335,100.0,False
59,0.004537000000709668,-3.0208333333333335,100.0,False
60,0.004068000000188476,-0.9534883720930233,100.0,False
61,0.0050939999982801965,-2.7962962962962963,100.0,False
62,0.0018399999989924254,4.315789473684211,100.0,False
63,0.00528899999881105,-6.267857142857143,100.0,False
64,0.0019119999997201376,4.05,100.0,False
65,0.01102099999843631,-3.5213675213675213,100.0,False
66,0.001930000000356813,4.05,100.0,False
67,0.003991999999925611,-0.9523809523809523,100.0,False
68,0.0034230000001116423,-0.9444444444444444,100.0,False
69,0.0035410000000410946,-3.6216216216216215,100.0,False
70,0.004279000000678934,-3.1555555555555554,100.0,False
71,0.002298999999766238,-0.9166666666666666,100.0,False
72,0.005934000000706874,-2.564516129032258,100.0,False
73,0.0035669999997480772,-0.9444444444444444,100.0,False
74,0.0022189999999682186,3.391304347826087,100.0,False
75,0.01364099999955215,-7.13103448275862,100.0,False
76,0.006197999999130843,-5.538461538461538,100.0,False
77,0.002667999999175663,2.607142857142857,100.0,False
78,0.0017279999992751982,4.611111111111111,100.0,False
79,0.0018130000007658964,4.315789473684211,100.0,False
80,0.002099000001180684,3.590909090909091,100.0,False
81,0.0019130000000586733,4.05,100.0,False
82,0.0023849999997764826,-0.92,100.0,False
83,0.003968999999415246,-3.3095238095238093,100.0,False
84,0.0017239999997400446,4.611111111111111,100.0,False
85,0.0028729999994538957,-0.9333333333333333,100.0,False
86,0.0044549999984155875,-3.0638297872340425,100.0,False
87,0.002319000001079985,3.391304347826087,100.0,False
88,0.0019200000006094342,4.05,100.0,False
89,0.0036080000008951174,-0.9473684210526315,100.0,False
90,0.0019950000005337643,3.8095238095238093,100.0,False
91,0.002007999999477761,3.8095238095238093,100.0,False
92,0.004194000001007225,-0.9545454545454546,100.0,False
93,0.0022909999988769414,3.2083333333333335,100.0,False
94,0.0014489999994111713,5.733333333333333,100.0,False
95,0.003683999999338994,-0.9487179487179487,100.0,False
96,0.006042999999408494,-2.515625,100.0,False
97,0.0021860000015294645,-0.9130434782608695,100.0,False
98,0.0019040000006498303,4.05,100.0,False
99,0.0019130000000586733,4.05,100.0,False
100,0.0014400000000023283,5.733333333333333,100.0,False
101,0.003867000001264387,-0.95,100.0,False
102,0.0014449999998760177,5.733333333333333,100.0,False
103,0.0023819999987608753,3.04,100.0,False
104,0.0030249999999796273,-0.9375,100.0,False
105,0.0057589999996707775,-2.5901639344262297,100.0,False
106,0.004615000001649605,-0.9591836734693877,100.0,False
107,0.004449000000022352,-0.9565217391304348,100.0,False
108,0.0019109999993816018,4.05,100.0,False
109,0.0015439999988302588,-0.875,100.0,False
110,0.007507000000259723,-2.7017543859649122,100.0,False
111,0.004350999999587657,3.2083333333333335,100.0,False
112,0.004374000000098022,2.2580645161290325,100.0,False
113,0.012775000001056469,-4.651851851851852,100.0,False
114,0.001554000000396627,5.3125,100.0,False
115,0.003717999999935273,-0.9487179487179487,100.0,False
116,0.0016369999993912643,4.9411764705882355,100.0,False
117,0.001825999999709893,4.315789473684211,100.0,False
118,0.0023419999997713603,3.2083333333333335,100.0,False
119,0.0016369999993912643,4.9411764705882355,100.0,False
120,0.0018270000000484288,4.315789473684211,100.0,False
121,0.005395999998654588,-2.7017543859649122,100.0,False
122,0.0016340000001946464,4.9411764705882355,100.0,False
