params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",11.77560799999992,100,-0.0889837953773884,-0.08842105263157891,-0.12142857142857141,-0.05925925925925928,0.011174316923072839
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",10.98414200000002,100,-0.09720219756374847,-0.09583040188378539,-0.12903225806451615,-0.060714285714285735,0.014682835083808445
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",11.18190299999992,100,-0.09591466216740521,-0.09278680770553835,-0.1310344827586207,-0.056000000000000015,0.01556872701964699
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",10.531774999999925,100,-0.08884688396893434,-0.0892063492063492,-0.1230769230769231,-0.050000000000000024,0.011532915605326528
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",9.442789000000175,100,-0.09453292426796281,-0.09251700680272107,-0.14500000000000002,-0.04761904761904764,0.016068999512119833
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.293904999999995,100,-0.12505497963458634,-0.1202272727272727,-0.2285714285714286,-0.08135593220338981,0.02242403013106626
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",34.86696499999994,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",39.04743800000006,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",15.333813999999848,100,-0.0886130859164851,-0.09008687180319883,-0.1375,-0.056000000000000015,0.009696182100498212
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",13.911697000000004,100,-0.09202232914146855,-0.08926803731201216,-0.12195121951219512,-0.065625,0.012020200422400224
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",14.579410999999936,100,-0.09426312509253419,-0.09323019239509164,-0.128125,-0.054166666666666675,0.013841521582230924
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",13.42380500000013,100,-0.09066259567513192,-0.09150566487775788,-0.1108433734939759,-0.054166666666666675,0.009637839684056218
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",11.964763000000175,100,-0.09323331949807226,-0.09137135474344776,-0.12093023255813952,-0.052173913043478286,0.013545323367188528
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",10.741802000000007,100,-0.09642772795134226,-0.0931255320795604,-0.14285714285714288,-0.056000000000000015,0.016217751432028735
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",9.821570999999949,100,-0.09495061026618996,-0.08947151492947425,-0.14500000000000002,-0.05769230769230771,0.019099172204809736
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.203914000000168,100,-0.12480898034586295,-0.12045454545454543,-0.2,-0.06451612903225809,0.026422858464855366
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",30.60975099999996,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",37.89605499999993,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",13.983993999999939,100,-0.09502833885241102,-0.0939955621301775,-0.12045454545454543,-0.05925925925925928,0.012027633804180888
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",12.292617000000064,100,-0.09471975256922478,-0.09169515669515668,-0.1272727272727273,-0.054166666666666675,0.013691890080225219
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",13.968147000000044,100,-0.09151878968671218,-0.09254160154454352,-0.11267605633802813,-0.065625,0.009826746190693857
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",12.698190000000068,100,-0.0904228722044648,-0.08865858843537415,-0.14090909090909093,-0.062068965517241406,0.01344278112935217
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",11.417368000000124,100,-0.08979219250202666,-0.08803782505910163,-0.12432432432432435,-0.05925925925925928,0.011814297243644844
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",10.655738999999812,100,-0.11002079145347589,-0.1103502974223397,-0.1310344827586207,-0.08333333333333331,0.009188484700003711
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",9.388760000000048,100,-0.090797123556365,-0.08682587492828456,-0.1310344827586207,-0.056000000000000015,0.016543436593758717
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.193412999999964,100,-0.12608275743196257,-0.12168989547038327,-0.2285714285714286,-0.08428571428571426,0.01989817668001549
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",28.970769999999902,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",35.84059900000011,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",14.271747000000005,100,-0.0967988743624089,-0.09795699922341575,-0.11874999999999998,-0.06764705882352942,0.007343604380930751
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",12.55619999999999,100,-0.09269254646036879,-0.091570757486788,-0.12432432432432435,-0.056000000000000015,0.01396075671454894
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",12.42348200000015,100,-0.09057618010976091,-0.09102025856324138,-0.1183673469387755,-0.06333333333333337,0.010807657988006735
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",11.342519000000038,100,-0.09464986044460966,-0.0910563194077208,-0.1230769230769231,-0.062068965517241406,0.015584780674635118
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",11.085015000000112,100,-0.09063747414400598,-0.08823226544622423,-0.12647058823529414,-0.052173913043478286,0.014170529712642625
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",9.787150999999994,100,-0.09347872392927975,-0.0881077606358111,-0.13333333333333336,-0.060714285714285735,0.016422039414654702
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",9.95572500000003,100,-0.09393455011711083,-0.09055776598880047,-0.13461538461538464,-0.056000000000000015,0.015171556417234158
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.094424000000117,100,-0.14192574425689322,-0.133974358974359,-0.27999999999999997,-0.060714285714285735,0.03796543879964756
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",45.24990899999989,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",45.59899999999993,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",44.516185999999834,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",40.74257699999998,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",19.52098000000001,100,-0.09157141266209658,-0.09341222879684416,-0.09808027923211167,-0.06944444444444446,0.006067623965867973
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",18.75654399999985,100,-0.09272645508797338,-0.09427919165721077,-0.098625,-0.0738095238095238,0.005267034546228267
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",20.961509999999862,100,-0.09222476899796822,-0.0938202247191011,-0.09887063655030802,-0.0725,0.005551188375652846
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.335910999999896,100,-0.08977358686514338,-0.09153846153846153,-0.09833836858006041,-0.06666666666666667,0.00696432055161643
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",12.357258000000002,100,-0.0893350242149298,-0.08910891089108909,-0.1272727272727273,-0.060714285714285735,0.011824904991557571
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.835215999999946,100,-0.10097869059032588,-0.09225198412698413,-0.18181818181818182,-0.038888888888888896,0.024260779157844345
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",42.31273599999986,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",42.704315999999835,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",39.97810100000015,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",37.82733899999994,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",19.305889999999863,100,-0.09003071030052652,-0.09238672286617489,-0.09812606473594547,-0.065625,0.0067098646789613406
