steps,time,reward,delta,converged
1,0.04810399999951187,-3.1736526946107784,0,False
2,0.047308999999586376,-2.3832335329341316,0,False
3,0.04724499999974796,-2.18562874251497,0,False
4,0.0473519999995915,-1.9880239520958083,0,False
5,0.047445000000152504,-1.9880239520958083,0,False
6,0.04727400000047055,-1.3952095808383234,0,False
7,0.04754800000046089,-1.1976047904191616,0,False
8,0.04728400000021793,-1.1976047904191616,0,False
9,0.04709800000091491,-1.0,0,False
10,0.0480889999998908,-1.1976047904191616,0,False
11,0.047185999999783235,-1.1976047904191616,0,False
12,0.0472749999989901,-1.1976047904191616,0,False
13,0.04739599999993516,-1.0,0,False
14,0.04738499999984924,-1.0,0,False
15,0.04769499999929394,-1.1976047904191616,0,False
16,0.04753800000071351,-1.0,0,False
17,0.04754099999991013,-1.0,0,False
18,0.048177999999097665,-1.0,0,False
19,0.047582999999576714,-1.0,0,False
20,0.04743799999960174,-1.1976047904191616,0,False
21,0.047549000000799424,-1.0,0,False
22,0.04769500000111293,-1.0,0,False
23,0.04757500000050641,-1.3952095808383234,0,False
24,0.0473470000015368,-1.0,0,False
25,0.0488470000000234,-1.0,0,False
26,0.04738100000031409,-1.0,0,False
27,0.04954800000086834,-1.0,0,False
28,0.05686700000114797,-1.1976047904191616,0,False
29,0.0473390000006475,-1.0,0,False
30,0.048980999999912456,-1.0,0,False
31,0.04722399999991467,-1.0,0,False
32,0.04738300000099116,-1.0,0,False
33,0.047193000000333996,-1.0,0,False
34,0.04736299999967741,-1.0,0,False
35,0.04721199999949022,-1.0,0,False
36,0.04757500000050641,-1.1976047904191616,0,False
37,0.05373099999997066,-1.0,0,False
38,0.04730999999992491,-1.0,0,False
39,0.0471720000005007,-1.0,0,False
40,0.04689700000017183,-1.0,0,False
41,0.047024000001329114,-1.0,0,False
42,0.04707100000086939,-1.0,0,False
43,0.047008999999889056,-1.0,0,False
44,0.046978000000308384,-1.0,0,False
45,0.047035999999934575,-1.0,0,False
46,0.04723299999932351,-1.0,0,False
47,0.047142000001258566,-1.0,0,False
48,0.04753100000016275,-1.0,0,False
49,0.05323899999893911,-1.0,0,False
50,0.058311999999205,-1.0,0,False
51,0.04803800000081537,-1.0,0,False
52,0.04702299999917159,-1.0,0,False
53,0.04704899999887857,-1.0,0,False
54,0.04719000000113738,-1.0,0,False
55,0.04699199999959092,-1.0,0,False
56,0.04706299999998009,-1.0,0,False
57,0.04695199999878241,-1.0,0,False
58,0.04730000000017753,-1.0,0,False
59,0.0534990000014659,-1.0,0,False
60,0.047265999999581254,-1.0,0,False
61,0.047278000000005704,-1.0,0,False
62,0.047282999999879394,-1.0,0,False
63,0.047486000001299544,-1.0,0,False
64,0.04712199999994482,-1.0,0,False
65,0.04719400000067253,-1.0,0,False
66,0.047282999999879394,-1.0,0,False
67,0.04725999999936903,-1.0,0,False
68,0.04746499999964726,-1.0,0,False
69,0.04940400000123191,-1.0,0,False
70,0.04737500000010186,-1.0,0,False
71,0.047285000000556465,-1.0,0,False
72,0.048257999998895684,-1.0,0,False
73,0.0470709999990504,-1.0,0,False
74,0.047038000000611646,-1.0,0,False
75,0.047040999999808264,-1.0,0,False
76,0.04722899999978836,-1.0,0,False
77,0.04723000000012689,-1.0,0,False
78,0.04746099999829312,-1.0,0,False
