episode,length,time,reward,delta
0,500.0,0.059628999999404186,-3867.0,-0.003327070067230098
1,500.0,0.05544000000008964,-3768.0,-1.5298587663359342e-07
2,362.0,0.034490999998524785,-2539.0,99.99978712917668
3,262.0,0.025765999998839106,-2043.0,9.999978712917667
4,38.0,0.005632000000332482,-37.0,0.9999978712917681
5,178.0,0.017056000000593485,-870.0,0.09999978712917823
6,127.0,0.01206099999944854,-621.0,0.009999978712912139
7,128.0,0.01218700000026729,-523.0,0.0009999978712897928
8,58.0,0.0055620000002818415,-354.0,9.999978712471602e-05
9,60.0,0.005787999998574378,-59.0,9.999978715313773e-06
10,71.0,0.006812000001445995,-268.0,9.999978658470354e-07
11,16.0,0.0016400000004068715,84.0,9.999978090036166e-08
12,24.0,0.0023950000013428507,76.0,9.999979511121637e-09
13,375.0,0.035337999999683234,-2255.0,1.0000036354540498e-09
14,50.0,0.004802999999810709,-49.0,1.000017846308765e-10
15,31.0,0.0030179999994288664,-30.0,1.000444171950221e-11
16,122.0,0.011576000000786735,-814.0,9.947598300641403e-13
17,93.0,0.008809000000837841,-389.0,9.947598300641403e-14
18,46.0,0.004439999998794519,-144.0,1.4210854715202004e-14
19,40.0,0.003875000000334694,-138.0,0.0
20,44.0,0.004245000000082655,-142.0,0.0
21,40.0,0.0038920000006328337,-39.0,0.0
22,50.0,0.004788999998709187,-49.0,0.0
23,23.0,0.0022800000006100163,-121.0,0.0
24,36.0,0.0034880000002885936,-134.0,0.0
25,176.0,0.01675699999941571,-967.0,0.0
26,78.0,0.007423999999446096,-374.0,0.0
27,125.0,0.012005000000499422,-718.0,0.0
28,18.0,0.0018099999997502891,82.0,0.0
29,24.0,0.0023509999991802033,76.0,0.0
30,71.0,0.006746000000930508,-268.0,0.0
31,124.0,0.011784000000261585,-717.0,0.0
32,43.0,0.004152999999860185,-42.0,0.0
33,17.0,0.0016990000003715977,83.0,0.0
34,107.0,0.010118000000147731,-700.0,0.0
35,53.0,0.005061000001660432,-151.0,0.0
36,30.0,0.0029240000003483146,-29.0,0.0
37,17.0,0.0017000000007101335,83.0,0.0
38,28.0,0.002735000000029686,72.0,0.0
39,134.0,0.012674999999944703,-925.0,0.0
40,16.0,0.0016089999990072101,84.0,0.0
41,41.0,0.003940999999031192,-40.0,0.0
42,52.0,0.004981000000043423,-51.0,0.0
43,126.0,0.01194000000032247,-719.0,0.0
44,57.0,0.005458000001453911,-155.0,0.0
45,22.0,0.0021730000007664785,78.0,0.0
46,36.0,0.0034940000005008187,-35.0,0.0
47,49.0,0.004721000001154607,-48.0,0.0
48,22.0,0.002166999998735264,78.0,0.0
49,44.0,0.004263999999238877,-43.0,0.0
50,28.0,0.002725000000282307,72.0,0.0
51,19.0,0.0018779999991238583,81.0,0.0
52,20.0,0.0019879999999830034,80.0,0.0
53,23.0,0.002265000000988948,77.0,0.0
54,14.0,0.0014229999997041887,86.0,0.0
55,15.0,0.0015150000017456478,85.0,0.0
56,19.0,0.0018970000000990694,81.0,0.0
57,19.0,0.0018980000004376052,81.0,0.0
58,63.0,0.00603899999987334,-260.0,0.0
59,39.0,0.0037580000007437775,-38.0,0.0
60,52.0,0.004962000000887201,-51.0,0.0
61,38.0,0.0036680000011983793,-37.0,0.0
62,22.0,0.0021790000009787036,78.0,0.0
63,38.0,0.0037379999994300306,-37.0,0.0
64,17.0,0.0017360000001644948,83.0,0.0
65,32.0,0.0031510000007983763,-31.0,0.0
66,67.0,0.00644300000021758,-165.0,0.0
67,20.0,0.0020070000009582145,80.0,0.0
68,50.0,0.004777000000103726,-148.0,0.0
69,63.0,0.006015000000843429,-161.0,0.0
70,48.0,0.004618000000846223,-245.0,0.0
71,70.0,0.006666000001132488,-465.0,0.0
72,64.0,0.006061000000045169,-360.0,0.0
73,62.0,0.005909999999857973,-160.0,0.0
74,61.0,0.005827000000863336,-258.0,0.0
75,15.0,0.001516000000265194,85.0,0.0
76,23.0,0.0023599999985890463,-22.0,0.0
77,23.0,0.002269999999043648,77.0,0.0
78,16.0,0.0016149999992194353,84.0,0.0
79,20.0,0.001983000000109314,80.0,0.0
80,19.0,0.0018890000010287622,81.0,0.0
81,14.0,0.0014209999990271172,86.0,0.0
82,24.0,0.0023939999991853256,76.0,0.0
