step,reward,mean,median,std,max,min
0,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,0.0,-0.10000000000000002,-0.10000000000000002
1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,0.0,-0.10000000000000002,-0.10000000000000002
2,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,0.0,-0.10000000000000002,-0.10000000000000002
3,-0.10141955835962142,-0.10035488958990536,-0.10000000000000002,0.0006146868007933506,-0.10000000000000002,-0.10141955835962142
4,-0.10000000000000002,-0.1002839116719243,-0.10000000000000002,0.0005678233438485615,-0.10000000000000002,-0.10141955835962142
5,-0.10000000000000002,-0.10023659305993692,-0.10000000000000002,0.0005290381650235918,-0.10000000000000002,-0.10141955835962142
6,-0.10000000000000002,-0.10020279405137449,-0.10000000000000002,0.0004967419487392488,-0.10000000000000002,-0.10141955835962142
7,-0.10000000000000002,-0.10017744479495269,-0.10000000000000002,0.00046947479888762847,-0.10000000000000002,-0.10141955835962142
8,-0.10000000000000002,-0.10015772870662461,-0.10000000000000002,0.0004461241521681538,-0.10000000000000002,-0.10141955835962142
9,-0.10233766233766234,-0.10037572206972838,-0.10000000000000002,0.0007789826958595518,-0.10000000000000002,-0.10233766233766234
10,-0.10000000000000002,-0.1003415655179349,-0.10000000000000002,0.000750543688258566,-0.10000000000000002,-0.10233766233766234
11,-0.10000000000000002,-0.10031310172477366,-0.10000000000000002,0.0007247654138076392,-0.10000000000000002,-0.10233766233766234
12,-0.10000000000000002,-0.10028901697671416,-0.10000000000000002,0.0007013125372920496,-0.10000000000000002,-0.10233766233766234
13,-0.10105263157894738,-0.10034356087687367,-0.10000000000000002,0.0007038347673707848,-0.10000000000000002,-0.10233766233766234
14,-0.10000000000000002,-0.10032065681841543,-0.10000000000000002,0.0006853482061136868,-0.10000000000000002,-0.10233766233766234
15,-0.10386266094420601,-0.10054203207627735,-0.10000000000000002,0.001084182111224039,-0.10000000000000002,-0.10386266094420601
16,-0.10095036958817319,-0.10056605192991828,-0.10000000000000002,0.001056190293714406,-0.10000000000000002,-0.10386266094420601
17,-0.10000000000000002,-0.10053460460047839,-0.10000000000000002,0.001034589529098506,-0.10000000000000002,-0.10386266094420601
18,-0.10225563909774435,-0.10062518536349238,-0.10000000000000002,0.001077834720505315,-0.10000000000000002,-0.10386266094420601
19,-0.10384615384615387,-0.10078623378762545,-0.10000000000000002,0.0012635017229468354,-0.10000000000000002,-0.10386266094420601
20,-0.10000000000000002,-0.10074879408345282,-0.10000000000000002,0.001244367486797572,-0.10000000000000002,-0.10386266094420601
21,-0.10147299509001637,-0.1007817123110239,-0.10000000000000002,0.001225080460632975,-0.10000000000000002,-0.10386266094420601
22,-0.10000000000000002,-0.10074772481924024,-0.10000000000000002,0.0012087110034535282,-0.10000000000000002,-0.10386266094420601
