episode,length,time,reward,delta
0,202.0,0.021171000000322238,-1191.0,100.00030504587922
1,500.0,0.047462000000450644,-2382.0,-0.6168899753994559
2,343.0,0.036145999998552725,-1728.0,10.000030504587926
3,30.0,0.0029579999991256045,-29.0,1.000003050458787
4,26.0,0.002575000000433647,74.0,0.10000030504588153
5,72.0,0.006926000000021304,-71.0,0.010000030504585311
6,30.0,0.0029429999995045364,70.0,0.0010000030504642154
7,22.0,0.0022100000005593756,78.0,0.00010000030505352697
8,79.0,0.007553000001280452,-177.0,1.0000030499668355e-05
9,34.0,0.003373999999894295,66.0,1.0000030528090065e-06
10,17.0,0.001734999999825959,83.0,1.0000030670198612e-07
11,17.0,0.0017169999991892837,83.0,1.0000036354540498e-08
12,73.0,0.0069899999998597195,-270.0,1.0000036354540498e-09
13,25.0,0.002478000000337488,75.0,1.000017846308765e-10
14,25.0,0.0031899999994493555,75.0,1.000444171950221e-11
15,17.0,0.0035539999989850912,83.0,9.947598300641403e-13
16,19.0,0.003477000000202679,81.0,9.947598300641403e-14
17,16.0,0.002356000000872882,84.0,1.4210854715202004e-14
18,51.0,0.0050800000008166535,-50.0,0.0
19,33.0,0.003228999999919324,-32.0,0.0
20,22.0,0.0021850000011909287,78.0,0.0
21,57.0,0.005467000000862754,-254.0,0.0
22,46.0,0.004492000000027474,-144.0,0.0
23,56.0,0.005425999999715714,-352.0,0.0
24,21.0,0.0021010000000387663,79.0,0.0
25,25.0,0.0024539999994885875,75.0,0.0
26,18.0,0.0017939999997906853,82.0,0.0
27,88.0,0.008488999999826774,-483.0,0.0
28,45.0,0.004356999999799882,-242.0,0.0
29,20.0,0.0019899999988410855,80.0,0.0
30,49.0,0.0047130000002653105,-48.0,0.0
31,32.0,0.0031179999987216434,-31.0,0.0
32,21.0,0.0020820000008825446,79.0,0.0
33,16.0,0.0016109999996842816,84.0,0.0
34,72.0,0.0069060000005265465,-170.0,0.0
35,15.0,0.0015169999987847405,85.0,0.0
36,19.0,0.0018909999998868443,81.0,0.0
37,16.0,0.0016209999994316604,-114.0,0.0
38,14.0,0.0014210000008461066,86.0,0.0
39,14.0,0.0014289999999164138,86.0,0.0
40,17.0,0.0017189999998663552,83.0,0.0
41,54.0,0.005187000000660191,-152.0,0.0
42,19.0,0.0019010000014532125,81.0,0.0
43,17.0,0.0017280000010941876,83.0,0.0
44,14.0,0.0014479999990726355,86.0,0.0
45,33.0,0.003241999998863321,-32.0,0.0
