steps,time,reward,delta,converged
1,0.0010019999999713036,-0.19999999999999998,0,False
2,0.001089999999749125,-0.18181818181818182,0,False
3,0.01339800000005198,-0.11022727272727256,0,False
4,0.0052169999999023275,-0.1160714285714285,0,False
5,0.0040960000005725306,-0.12045454545454547,0,False
6,0.0006979999998293351,-0.2285714285714286,0,False
7,0.0034519999999247375,-0.12432432432432436,0,False
8,0.0018289999998160056,-0.14736842105263162,0,False
9,0.002619000000777305,-0.13214285714285717,0,False
10,0.0027150000005349284,-0.13103448275862073,0,False
11,0.0048710000000937725,-0.11730769230769227,0,False
12,0.0044500000003608875,-0.11874999999999998,0,False
13,0.0089349999998376,-0.10937499999999982,0,False
14,0.005325000000084401,-0.11636363636363631,0,False
15,0.0020920000006299233,-0.14090909090909093,0,False
16,0.005146999999851687,-0.11636363636363631,0.10208581,False
17,0.004281999999875552,-0.11956521739130435,0.10208581,False
18,0.0023419999997713603,-0.13600000000000004,0.10208581,False
19,0.001704000000245287,-0.15000000000000002,0.10208581,False
20,0.0025299999997514533,-0.13333333333333336,0.10208581,False
21,0.006878999999571533,-0.11216216216216203,0.10208581,False
22,0.0030999999999039574,-0.12727272727272732,0.10208581,False
23,0.0038720000002285815,-0.12195121951219516,0.10208581,False
24,0.0022890000000188593,-0.13913043478260873,0.10208581,False
25,0.005589999999756401,-0.11499999999999992,0.10208581,False
26,0.0019709999996848637,-0.14285714285714288,0.10208581,False
27,0.002808000000186439,-0.13000000000000003,0.10208581,False
28,0.006267999999181484,-0.11323529411764695,0.10208581,False
29,0.010684999999284628,-0.10775862068965496,0.10208581,False
30,0.0005909999999857973,-0.25,0.10208581,False
31,0.0023419999997713603,-0.13600000000000004,0.10208581,False
32,0.002779999999802385,-0.13000000000000003,0.10208581,False
33,0.005106999999952677,-0.11636363636363631,0.10208581,False
34,0.004002000000582484,-0.12093023255813956,0.10208581,False
35,0.0008689999995112885,-0.19999999999999998,0.10208581,False
36,0.0016340000001946464,-0.15294117647058827,0.10208581,False
37,0.0035189999998692656,-0.12368421052631584,0.10208581,False
38,0.0031710000002931338,-0.12647058823529417,0.10208581,False
39,0.0029710000007980852,-0.12812500000000004,0.10208581,False
40,0.009535999999570777,-0.10873786407766971,0.10208581,False
41,0.008574999999837019,-0.10967741935483853,0.10208581,False
42,0.004074999999829743,-0.12045454545454547,0.17564128803366738,False
43,0.0060350000003381865,-0.11384615384615374,0.17564128803366738,False
44,0.0036119999995207763,-0.12432432432432436,0.17564128803366738,False
45,0.0018890000001192675,-0.14500000000000002,0.17564128803366738,False
46,0.0033610000000408036,-0.12500000000000006,0.17564128803366738,False
47,0.009125999999923806,-0.10918367346938757,0.17564128803366738,False
48,0.0035279999992781086,-0.12368421052631584,0.17564128803366738,False
49,0.0014160000000629225,-0.16000000000000003,0.17564128803366738,False
50,0.00575100000060047,-0.11451612903225797,0.17564128803366738,False
51,0.01966100000026927,-0.10422535211267621,0.2384907309158708,False
52,0.011637999999948079,-0.10714285714285691,0.2384907309158708,False
53,0.006006999999954132,-0.11384615384615374,0.2384907309158708,False
54,0.004294000000300002,-0.11956521739130435,0.2384907309158708,False
55,0.004698000000644242,-0.11764705882352938,0.2384907309158708,False
56,0.014917999999852327,-0.1055555555555553,0.2384907309158708,False
57,0.003908000000592438,-0.12142857142857147,0.2384907309158708,False
58,0.006132999999863387,-0.11363636363636354,0.2384907309158708,False
59,0.008058999999775551,-0.11304347826086944,0.2384907309158708,False
60,0.008563000000322063,-0.11153846153846139,0.2384907309158708,False
61,0.003388999999515363,-0.12571428571428578,0.2384907309158708,False
62,0.006595999999262858,-0.11267605633802805,0.2384907309158708,False
63,0.021284000000378,-0.10389610389610414,0.2384907309158708,False
64,0.0022420000004785834,-0.13750000000000004,0.2384907309158708,False
65,0.003343999999742664,-0.12500000000000006,0.2384907309158708,False
66,0.002801000000545173,-0.13000000000000003,0.2384907309158708,False
67,0.007272000000739354,-0.11153846153846139,0.2384907309158708,False
68,0.005481999999574327,-0.11525423728813551,0.2384907309158708,False
69,0.02329100000042672,-0.10452261306532669,0.2384907309158708,False
70,0.0031810000000405125,-0.12647058823529417,0.2384907309158708,False
71,0.0020690000001195585,-0.14090909090909093,0.2384907309158708,False
72,0.02979200000027049,-0.10327272727272771,0.24935426074587536,False
73,0.009262999999918975,-0.11232876712328754,0.24935426074587536,False
74,0.05793900000026042,-0.10193548387096858,0.24935426074587536,False
75,0.005927000000156113,-0.11799999999999997,0.24935426074587536,False
76,0.004189000000224041,-0.12000000000000001,0.24935426074587536,False
77,0.000968000000284519,-0.19,0.24935426074587536,False
78,0.002719000000070082,-0.13333333333333336,0.24935426074587536,False
79,0.0018900000004578033,-0.19,0.24935426074587536,False
80,0.01088400000026013,-0.11034482758620673,0.24935426074587536,False
81,0.002510999999685737,-0.13600000000000004,0.24935426074587536,False
82,0.00505299999986164,-0.11666666666666661,0.24935426074587536,False
83,0.01320300000043062,-0.10638297872340402,0.24935426074587536,False
84,0.004212999999253952,-0.12000000000000001,0.24935426074587536,False
85,0.012437000000318221,-0.10671641791044753,0.24935426074587536,False
86,0.004966000000422355,-0.11698113207547164,0.24935426074587536,False
87,0.007180000000516884,-0.11168831168831155,0.24935426074587536,False
88,0.022683000000142783,-0.10368852459016424,0.24935426074587536,False
89,0.0031790000002729357,-0.12647058823529417,0.24935426074587536,False
90,0.027718000000277243,-0.10300000000000052,0.24935426074587536,False
91,0.003394000000298547,-0.12500000000000006,0.24935426074587536,False
92,0.00495500000033644,-0.11698113207547164,0.24935426074587536,False
93,0.008773999999903026,-0.10957446808510621,0.24935426074587536,False
94,0.0029180000001360895,-0.12903225806451618,0.24935426074587536,False
95,0.001999000000068918,-0.14285714285714288,0.24935426074587536,False
96,0.018484999999600404,-0.10456852791878177,0.24935426074587536,False
97,0.006250999999792839,-0.11343283582089542,0.24935426074587536,False
98,0.007180000000516884,-0.11168831168831155,0.24935426074587536,False
99,0.003365000000485452,-0.12500000000000006,0.24935426074587536,False
100,0.0053820000002815505,-0.11551724137931027,0.24935426074587536,False
101,0.004875999999967462,-0.11730769230769227,0.24935426074587536,False
102,0.013162000000193075,-0.10633802816901385,0.24935426074587536,False
103,0.005422999999609601,-0.11551724137931027,0.24935426074587536,False
104,0.008422999999311287,-0.11022727272727256,0.24935426074587536,False
105,0.013860999999451451,-0.10608108108108083,0.24935426074587536,False
106,0.002148999999917578,-0.13913043478260873,0.24935426074587536,False
107,0.0014559999999619322,-0.16000000000000003,0.24935426074587536,False
108,0.01905299999998533,-0.10434782608695663,0.24935426074587536,False
109,0.010005000000091968,-0.10825688073394475,0.24935426074587536,False
110,0.002611000000797503,-0.13214285714285717,0.24935426074587536,False
111,0.005342000000382541,-0.11551724137931027,0.24935426074587536,False
112,0.004208000000289758,-0.12000000000000001,0.24935426074587536,False
113,0.006784000000152446,-0.11249999999999988,0.24935426074587536,False
114,0.005446000000119966,-0.11525423728813551,0.24935426074587536,False
115,0.005545999999412743,-0.11499999999999992,0.24935426074587536,False
116,0.00882999999976164,-0.10937499999999982,0.24935426074587536,False
117,0.0016940000004979083,-0.15000000000000002,0.24935426074587536,False
