steps,time,reward,delta,converged
1,0.005402999999660096,-0.1160714285714285,0,False
2,0.008123999999952503,-0.11184210526315776,0.008750000000000008,False
3,0.002179000000069209,-0.13913043478260873,0.008750000000000008,False
4,0.001427000000148837,-0.16000000000000003,0.008750000000000008,False
5,0.0016680000003361783,-0.15294117647058827,0.010000000000000009,False
6,0.0005959999998594867,-0.25,0.010000000000000009,False
7,0.003439000000071246,-0.12432432432432436,0.010000000000000009,False
8,0.0027970000001005246,-0.13000000000000003,0.05304687499999999,False
9,0.002594000000044616,-0.13333333333333336,0.05304687499999999,False
10,0.0029650000001311128,-0.12812500000000004,0.2649562328125,False
11,0.003895000000284199,-0.12142857142857147,0.2649562328125,False
12,0.000687000000198168,-0.2285714285714286,0.2649562328125,False
13,0.0014140000002953457,-0.16000000000000003,0.2649562328125,False
14,0.002146999999695254,-0.13913043478260873,0.2649562328125,False
15,0.002222000000074331,-0.14736842105263162,0.2649562328125,False
16,0.006217000000106054,-0.12647058823529417,0.2649562328125,False
17,0.010374000000410888,-0.11304347826086944,0.2649562328125,False
18,0.0006020000000717118,-0.25,0.2649562328125,False
19,0.00477900000032605,-0.11764705882352938,0.2649562328125,False
20,0.0012459999998100102,-0.16923076923076924,0.2649562328125,False
21,0.0011489999997138511,-0.17499999999999996,0.36309319952148444,False
22,0.008520999999745982,-0.10989010989010971,0.36309319952148444,False
23,0.004809999999906722,-0.11764705882352938,0.36309319952148444,False
24,0.0042889999999715656,-0.11956521739130435,0.36309319952148444,False
25,0.0013399999998000567,-0.17499999999999996,0.36309319952148444,False
26,0.000980000000254222,-0.2285714285714286,0.36309319952148444,False
27,0.0020589999999174324,-0.14285714285714288,0.36309319952148444,False
28,0.01051099999995131,-0.1079646017699113,0.36309319952148444,False
29,0.0064940000002025045,-0.11285714285714274,0.36309319952148444,False
30,0.0046649999999317515,-0.11799999999999997,0.36309319952148444,False
31,0.006443999999646621,-0.11304347826086944,0.36309319952148444,False
32,0.0006859999998596322,-0.2285714285714286,0.36309319952148444,False
33,0.0017889999999169959,-0.14736842105263162,0.36309319952148444,False
34,0.0039040000001477893,-0.12142857142857147,0.36309319952148444,False
35,0.005204999999932625,-0.1160714285714285,0.36309319952148444,False
36,0.0007810000001882145,-0.2125,0.36309319952148444,False
37,0.007783000000017637,-0.11071428571428556,0.36309319952148444,False
38,0.005012999999962631,-0.11666666666666661,0.36309319952148444,False
39,0.001055000000178552,-0.18181818181818182,0.36309319952148444,False
40,0.004312000000027183,-0.11956521739130435,0.36309319952148444,False
41,0.003618000000187749,-0.12500000000000006,0.36309319952148444,False
42,0.005317999999988388,-0.11578947368421046,0.36309319952148444,False
43,0.0029440000002978195,-0.12903225806451618,0.36309319952148444,False
44,0.0011550000003808236,-0.17499999999999996,0.36309319952148444,False
45,0.008061999999881664,-0.11034482758620673,0.36309319952148444,False
46,0.0005009999999856518,-0.27999999999999997,0.36309319952148444,False
47,0.001239000000168744,-0.16923076923076924,0.36309319952148444,False
48,0.011523000000124739,-0.11022727272727256,0.36309319952148444,False
49,0.010198999999829539,-0.11011235955056163,0.36309319952148444,False
50,0.0032820000001265726,-0.12571428571428578,0.36309319952148444,False
51,0.008655999999973574,-0.10967741935483853,0.36309319952148444,False
52,0.0023460000002160086,-0.13600000000000004,0.36309319952148444,False
53,0.001239000000168744,-0.16923076923076924,0.36309319952148444,False
54,0.005975000000034925,-0.11428571428571419,0.36309319952148444,False
55,0.0029980000003888563,-0.12812500000000004,0.36309319952148444,False
56,0.005966999999600375,-0.11428571428571419,0.36309319952148444,False
57,0.0018890000001192675,-0.14500000000000002,0.36309319952148444,False
58,0.005208000000038737,-0.1160714285714285,0.36309319952148444,False
59,0.0025299999997514533,-0.13333333333333336,0.36309319952148444,False
60,0.0009620000000722939,-0.19,0.36309319952148444,False
61,0.0016239999999925203,-0.15294117647058827,0.36309319952148444,False
62,0.0033480000001873123,-0.12500000000000006,0.36309319952148444,False
63,0.0017850000003818423,-0.14736842105263162,0.36309319952148444,False
64,0.003347999999732565,-0.12500000000000006,0.36309319952148444,False
65,0.006186000000070635,-0.11343283582089542,0.4,False
66,0.001600999999936903,-0.15294117647058827,0.4,False
67,0.0032519999999749416,-0.12571428571428578,0.4,False
68,0.002092000000175176,-0.14090909090909093,0.4,False
69,0.0020650000001296576,-0.14090909090909093,0.4,False
70,0.0009609999997337582,-0.19,0.4,False
71,0.0031020000001262815,-0.12727272727272732,0.4,False
72,0.0005900000001020089,-0.25,0.4,False
73,0.003999000000021624,-0.12093023255813956,0.4,False
74,0.0008680000000822474,-0.19999999999999998,0.4,False
75,0.0037189999998190615,-0.12250000000000005,0.4,False
76,0.004288000000087777,-0.11956521739130435,0.4,False
77,0.0021499999998013664,-0.13913043478260873,0.4,False
78,0.00473199999987628,-0.11764705882352938,0.4,False
79,0.006653000000369502,-0.08472222222222209,1.0,False
80,0.016270999999960623,-0.10520231213872817,1.0,False
81,0.004111000000193599,-0.07441860465116282,1.0,False
82,0.0015310000003410096,-0.15625,1.0,False
83,0.015218999999888183,-0.10548780487804854,1.0,False
84,0.0019860000002154266,-0.14285714285714288,1.0,False
85,0.002892999999858148,-0.12903225806451618,1.0,False
86,0.0038500000000567525,-0.12195121951219516,1.0,False
87,0.011041000000204804,-0.09075630252100819,1.0,False
88,0.0007829999999557913,-0.2125,1.0,False
89,0.00585399999999936,-0.11451612903225797,1.0,False
90,0.00861399999985224,-0.10967741935483853,1.0,False
91,0.0008689999999660358,-0.19999999999999998,1.0,False
92,0.006685999999717751,-0.11249999999999988,1.0,False
93,0.003113000000212196,-0.12727272727272732,1.0,False
94,0.001886000000013155,-0.14500000000000002,1.0,False
95,0.0025180000002364977,-0.13333333333333336,1.0,False
96,0.0011389999999664724,-0.17499999999999996,1.0,False
97,0.0013289999997141422,-0.16428571428571428,1.0,False
98,0.0007759999998597777,-0.2125,1.0,False
99,0.0012280000000828295,-0.16923076923076924,1.0,False
100,0.002612000000226544,-0.13214285714285717,1.0,False
101,0.007127000000309636,-0.11168831168831155,1.0,False
102,0.002339000000119995,-0.13600000000000004,1.0,False
103,0.0027970000001005246,-0.13000000000000003,1.0,False
104,0.003895000000284199,-0.14736842105263162,1.0,False
105,0.00939299999981813,-0.11475409836065566,1.0,False
106,0.00189200000022538,-0.15000000000000002,1.0,False
107,0.0032679999999345455,-0.12647058823529417,1.0,False
108,0.009694000000308733,-0.10865384615384596,1.0,False
109,0.004206000000067434,-0.12000000000000001,1.0,False
110,0.0019889999998667918,-0.14285714285714288,1.0,False
111,0.014668000000256143,-0.10573248407643286,1.0,False
112,0.0016200000000026193,-0.15294117647058827,1.0,False
113,0.0031910000002426386,-0.12647058823529417,1.0,False
114,0.001146000000062486,-0.17499999999999996,1.0,False
115,0.009771999999884429,-0.10857142857142837,1.0,False
116,0.004472999999961758,-0.11874999999999998,1.0,False
117,0.00320400000009613,-0.12647058823529417,1.0,False
118,0.0019780000002356246,-0.14285714285714288,1.0,False
119,0.008999000000130764,-0.10927835051546374,1.0,False
120,0.0014240000000427244,-0.16000000000000003,1.0,False
