episode,length,time,reward,delta
0,500.0,0.057853000000250177,-2877.0,-0.0013950024011739615
1,500.0,0.04731799999899522,-4362.0,-0.6240321451000006
2,161.0,0.015237000001434353,-754.0,100.0
3,337.0,0.03215500000078464,-1326.0,10.0
4,141.0,0.014376000000993372,-635.0,1.0
5,69.0,0.008147000000462867,-464.0,0.09999999999999432
6,128.0,0.012495000000853906,-1018.0,0.010000000000005116
7,49.0,0.004817999999431777,-147.0,0.0010000000000047748
8,72.0,0.006906999999046093,-269.0,0.00010000000000331966
9,74.0,0.0071380000008502975,-370.0,1.0000000003174137e-05
10,103.0,0.00982800000019779,-696.0,9.999999974752427e-07
11,199.0,0.01893700000073295,-990.0,9.999999406318238e-08
12,21.0,0.0021059999999124557,-119.0,9.999993721976352e-09
13,21.0,0.002089999999952852,-20.0,1.0000036354540498e-09
14,206.0,0.02251799999976356,-1888.0,1.000017846308765e-10
15,32.0,0.0035630000002129236,-229.0,1.000444171950221e-11
16,56.0,0.005492000000231201,-253.0,9.947598300641403e-13
17,78.0,0.0075140000008104835,-275.0,9.947598300641403e-14
18,20.0,0.0020000000004074536,80.0,1.4210854715202004e-14
19,54.0,0.005170000000362052,-350.0,0.0
20,46.0,0.004460000000108266,-45.0,0.0
21,42.0,0.004057000000102562,-239.0,0.0
22,98.0,0.009391999999934342,-691.0,0.0
23,146.0,0.01388799999949697,-1135.0,0.0
24,128.0,0.012178999999377993,-919.0,0.0
25,64.0,0.006095000000641448,-360.0,0.0
26,65.0,0.006213000000570901,-757.0,0.0
27,38.0,0.003673999999591615,-136.0,0.0
28,52.0,0.004986999998436659,-348.0,0.0
29,29.0,0.0028359999996609986,-28.0,0.0
30,26.0,0.002563000000009197,-25.0,0.0
31,20.0,0.0019929999998566927,80.0,0.0
32,82.0,0.008150999999998021,-378.0,0.0
33,38.0,0.0036689999997179257,-37.0,0.0
34,44.0,0.00493099999948754,-241.0,0.0
35,22.0,0.0021980000001349254,78.0,0.0
36,48.0,0.00462599999991653,-245.0,0.0
37,15.0,0.0015340000009018695,85.0,0.0
38,24.0,0.0023649999984627357,76.0,0.0
39,18.0,0.001802000000679982,82.0,0.0
40,47.0,0.004555000001346343,-244.0,0.0
41,55.0,0.005319999998391722,-252.0,0.0
42,53.0,0.005094000000099186,-250.0,0.0
43,28.0,0.0027289999998174608,-27.0,0.0
44,35.0,0.0033989999992627418,-133.0,0.0
45,73.0,0.006992999999056337,-270.0,0.0
46,17.0,0.0017189999998663552,83.0,0.0
47,28.0,0.002758999999059597,72.0,0.0
