episode,length,time,reward,delta
0,39.0,0.003930999999283813,61.0,100.0
1,500.0,0.04848599999968428,-3471.0,-0.032435634700000104
2,500.0,0.04722800000126881,-2976.0,-0.04914544239999996
3,45.0,0.004331000000092899,55.0,10.0
4,191.0,0.017992999999478343,-883.0,1.0
5,28.0,0.002774999999019201,-126.0,0.09999999999999432
6,89.0,0.008501000000251224,-286.0,0.010000000000005116
7,34.0,0.0032929999997577397,-33.0,0.0010000000000047748
8,66.0,0.006284000000960077,-164.0,0.00010000000000331966
9,39.0,0.0038139999996928964,-38.0,1.0000000003174137e-05
10,27.0,0.002660000000105356,73.0,9.999999974752427e-07
11,30.0,0.0029329999997571576,-29.0,9.999999406318238e-08
12,44.0,0.00425100000029488,-43.0,9.999993721976352e-09
13,40.0,0.0038580000000365544,-138.0,1.0000036354540498e-09
14,65.0,0.006226999999853433,-262.0,1.000017846308765e-10
15,35.0,0.003516999999192194,-34.0,1.000444171950221e-11
16,18.0,0.00181700000030105,-17.0,9.947598300641403e-13
17,23.0,0.0022860000008222414,77.0,9.947598300641403e-14
18,25.0,0.002458999999362277,75.0,1.4210854715202004e-14
19,14.0,0.0014300000002549496,86.0,0.0
20,16.0,0.0016189999987545889,84.0,0.0
21,32.0,0.0031400000007124618,-31.0,0.0
22,107.0,0.010281999999278923,-601.0,0.0
23,25.0,0.0024590000011812663,75.0,0.0
24,79.0,0.007534000000305241,-276.0,0.0
25,18.0,0.0017980000011448283,82.0,0.0
26,39.0,0.0037700000011682278,-137.0,0.0
27,19.0,0.0018980000004376052,81.0,0.0
28,17.0,0.001704000000245287,83.0,0.0
29,51.0,0.004920000001220615,-149.0,0.0
30,16.0,0.0016130000003613532,84.0,0.0
31,16.0,0.0016099999993457459,84.0,0.0
32,54.0,0.005171000000700587,-152.0,0.0
33,31.0,0.003020000000105938,-129.0,0.0
34,33.0,0.00323000000025786,-32.0,0.0
35,14.0,0.001426000000719796,86.0,0.0
36,48.0,0.004650000000765431,-146.0,0.0
37,17.0,0.0017090000001189765,83.0,0.0
38,18.0,0.0018049999998765998,82.0,0.0
39,16.0,0.0016169999998965068,84.0,0.0
40,56.0,0.005367000001569977,-154.0,0.0
41,24.0,0.002356000000872882,76.0,0.0
42,29.0,0.002832000000125845,-28.0,0.0
43,36.0,0.0034969999996974366,-35.0,0.0
44,19.0,0.001916999999593827,-18.0,0.0
45,23.0,0.002282999999806634,77.0,0.0
46,90.0,0.00856500000008964,-287.0,0.0
47,15.0,0.0015199999998003477,85.0,0.0
48,15.0,0.0015199999998003477,85.0,0.0
49,17.0,0.0017079999997804407,83.0,0.0
50,18.0,0.0017979999993258389,82.0,0.0
51,18.0,0.0018209999998362036,82.0,0.0
52,14.0,0.0014199999986885814,86.0,0.0
53,14.0,0.0014229999997041887,86.0,0.0
54,35.0,0.0033879999991768273,-34.0,0.0
55,22.0,0.0021830000005138572,-21.0,0.0
56,16.0,0.0016120000000228174,84.0,0.0
57,58.0,0.005564999999478459,-156.0,0.0
58,22.0,0.002195999999457854,78.0,0.0
59,16.0,0.0016150000010384247,84.0,0.0
60,14.0,0.0014300000002549496,86.0,0.0
61,44.0,0.004295999999158084,-43.0,0.0
62,31.0,0.003026000000318163,-129.0,0.0
63,38.0,0.003733999999894877,-37.0,0.0
64,47.0,0.004528999999820371,-145.0,0.0
65,21.0,0.002087000000756234,79.0,0.0
66,14.0,0.001419000000169035,86.0,0.0
67,23.0,0.00229600000056962,77.0,0.0
68,61.0,0.005832000000737025,-159.0,0.0
69,17.0,0.001702000001387205,-16.0,0.0
70,31.0,0.0030150000002322486,-30.0,0.0
71,18.0,0.0017960000004677568,82.0,0.0
72,14.0,0.001419000000169035,86.0,0.0
73,52.0,0.0050159999991592485,-150.0,0.0
74,38.0,0.0036689999997179257,-37.0,0.0
75,14.0,0.0014240000000427244,86.0,0.0
76,17.0,0.0018010000003414461,83.0,0.0
77,16.0,0.0016260000011243392,84.0,0.0
78,14.0,0.0014250000003812602,86.0,0.0
79,30.0,0.0029240000003483146,-29.0,0.0
80,29.0,0.0028280000005906913,-28.0,0.0
81,23.0,0.002265000000988948,77.0,0.0
82,16.0,0.0016089999990072101,84.0,0.0
83,16.0,0.0016120000000228174,84.0,0.0
84,32.0,0.003102000000581029,-31.0,0.0
85,14.0,0.0014470000005530892,86.0,0.0
86,22.0,0.0021790000009787036,78.0,0.0
87,22.0,0.00217999999949825,78.0,0.0
88,58.0,0.005574000000706292,-255.0,0.0
89,35.0,0.0033920000005309703,-34.0,0.0
90,127.0,0.012571000001116772,-522.0,0.0
91,17.0,0.0020280000007915078,83.0,0.0
92,20.0,0.003058000000237371,80.0,0.0
93,28.0,0.003004000000146334,-27.0,0.0
94,30.0,0.0029130000002624,-29.0,0.0
95,45.0,0.004333000000769971,-143.0,0.0
96,45.0,0.00434300000051735,-143.0,0.0
97,45.0,0.0043419999983598245,-143.0,0.0
98,18.0,0.0017889999999169959,82.0,0.0
99,39.0,0.0037510000001930166,-38.0,0.0
100,16.0,0.0016129999985423638,84.0,0.0
101,16.0,0.0016690000011294615,84.0,0.0
102,28.0,0.0027249999984633178,-126.0,0.0
103,37.0,0.0035729999999603024,-36.0,0.0
104,22.0,0.0021679999990737997,78.0,0.0
105,14.0,0.0014539999992848607,86.0,0.0
106,30.0,0.002908999998908257,-29.0,0.0
107,32.0,0.003117000000202097,-31.0,0.0
108,17.0,0.0017029999999067513,83.0,0.0
109,58.0,0.005527999999685562,-57.0,0.0
110,15.0,0.001514000001407112,85.0,0.0
111,18.0,0.0018049999998765998,82.0,0.0
112,30.0,0.0029259999992063968,-29.0,0.0
113,16.0,0.0016059999998105923,84.0,0.0
114,31.0,0.0030179999994288664,-30.0,0.0
115,17.0,0.0017060000009223586,83.0,0.0
116,19.0,0.001886000000013155,81.0,0.0
117,19.0,0.0018959999997605337,81.0,0.0
118,15.0,0.0015210000001388835,85.0,0.0
119,76.0,0.0072290000007342314,-174.0,0.0
120,15.0,0.0015210000001388835,85.0,0.0
121,17.0,0.0017029999999067513,83.0,0.0
122,15.0,0.0015199999998003477,85.0,0.0
123,14.0,0.0014209999990271172,86.0,0.0
124,19.0,0.0018899999995483086,-18.0,0.0
125,15.0,0.0015199999998003477,85.0,0.0
126,16.0,0.0016150000010384247,84.0,0.0
127,40.0,0.0038640000002487795,-39.0,0.0
128,16.0,0.0016090000008261995,84.0,0.0
129,14.0,0.0014270000010583317,86.0,0.0
130,14.0,0.0014179999998304993,86.0,0.0
131,14.0,0.0014120000014372636,86.0,0.0
132,29.0,0.0028340000008029165,-28.0,0.0
133,15.0,0.0015200000016193371,85.0,0.0
134,21.0,0.002060999999230262,79.0,0.0
135,17.0,0.0017049999987648334,83.0,0.0
136,56.0,0.005373999998482759,-253.0,0.0
137,26.0,0.002548999998907675,74.0,0.0
138,20.0,0.0019840000004478497,80.0,0.0
139,68.0,0.0065699999995558755,-265.0,0.0
140,14.0,0.0014289999999164138,86.0,0.0
141,62.0,0.0059249999994790414,-160.0,0.0
142,16.0,0.0016080000004876638,84.0,0.0
143,18.0,0.0017970000008062925,82.0,0.0
144,22.0,0.0021619999988615746,78.0,0.0
145,16.0,0.0016109999996842816,84.0,0.0
146,19.0,0.0018909999998868443,81.0,0.0
147,16.0,0.0016089999990072101,84.0,0.0
148,16.0,0.0016099999993457459,-15.0,0.0
149,16.0,0.0016150000010384247,84.0,0.0
150,14.0,0.001430999998774496,86.0,0.0
151,14.0,0.0014209999990271172,86.0,0.0
152,36.0,0.0034730000006675255,-35.0,0.0
153,18.0,0.0017910000005940674,82.0,0.0
154,14.0,0.0014169999994919635,86.0,0.0
155,16.0,0.0016130000003613532,84.0,0.0
156,34.0,0.003396000000066124,-33.0,0.0
157,21.0,0.002096000000165077,79.0,0.0
158,17.0,0.0017050000005838228,83.0,0.0
159,17.0,0.0017050000005838228,83.0,0.0
160,14.0,0.0014329999994515674,86.0,0.0
161,28.0,0.002736999998887768,-225.0,0.0
162,14.0,0.0014229999997041887,86.0,0.0
163,17.0,0.0018630000013217796,83.0,0.0
164,41.0,0.003951999999117106,-40.0,0.0
165,16.0,0.0016180000002350425,84.0,0.0
166,31.0,0.003020000000105938,-30.0,0.0
167,17.0,0.0016930000001593726,83.0,0.0
168,14.0,0.001410000000760192,86.0,0.0
169,15.0,0.001602999998794985,-14.0,0.0
170,16.0,0.0016149999992194353,84.0,0.0
171,16.0,0.001615999999557971,84.0,0.0
172,14.0,0.0014229999997041887,86.0,0.0
173,33.0,0.003208000000086031,-32.0,0.0
174,54.0,0.005159000000276137,-251.0,0.0
175,14.0,0.001419000000169035,86.0,0.0
176,32.0,0.003087999999479507,-31.0,0.0
177,21.0,0.002065000000584405,79.0,0.0
178,17.0,0.001704000000245287,-16.0,0.0
179,16.0,0.0016099999993457459,84.0,0.0
180,22.0,0.002168000000892789,78.0,0.0
181,14.0,0.0014119999996182742,86.0,0.0
182,16.0,0.0016180000002350425,84.0,0.0
183,14.0,0.001419000000169035,86.0,0.0
184,21.0,0.00207100000079663,79.0,0.0
185,15.0,0.0015149999999266583,85.0,0.0
186,21.0,0.002073999999993248,79.0,0.0
187,14.0,0.0014310000005934853,86.0,0.0
188,21.0,0.00207100000079663,79.0,0.0
189,27.0,0.002635000000736909,73.0,0.0
190,19.0,0.0018940000009024516,81.0,0.0
191,29.0,0.002824999999575084,-28.0,0.0
192,16.0,0.0016020000002754387,84.0,0.0
193,17.0,0.0016990000003715977,83.0,0.0
194,18.0,0.0017829999997047707,82.0,0.0
195,14.0,0.0014289999999164138,86.0,0.0
196,30.0,0.0029279999998834683,-29.0,0.0
197,14.0,0.0014210000008461066,86.0,0.0
198,14.0,0.0014210000008461066,86.0,0.0
199,16.0,0.001614000000699889,84.0,0.0
200,16.0,0.0016390000000683358,84.0,0.0
201,14.0,0.0014250000003812602,86.0,0.0
202,14.0,0.0014269999992393423,86.0,0.0
203,21.0,0.00207599999885133,79.0,0.0
