episode,length,time,reward,delta
0,76.0,0.00739400000020396,-8.599999999999989,-1.0
1,38.0,0.004002000000582484,-4.8000000000000025,-0.91
2,78.0,0.00756699999965349,-8.799999999999988,-1.0
3,32.0,0.0030909999995856197,-4.200000000000001,-0.91
4,8.0,0.0008580000003348687,-1.7999999999999998,-0.8694999999999999
5,67.0,0.0063589999999749125,-7.699999999999992,-1.0
6,36.0,0.003539000000273518,-4.600000000000001,-1.0
7,12.0,0.0012489999999161228,-2.2,-0.832384
8,12.0,0.0012369999994916725,-2.2,-1.0
9,36.0,0.0035419999994701357,-4.600000000000001,-1.0
10,17.0,0.0017049999996743281,-2.7,-1.0
11,39.0,0.0037430000002132147,-4.900000000000002,-1.0
12,8.0,0.0008580000003348687,-1.7999999999999998,-0.91
13,8.0,0.0008569999999963329,-1.7999999999999998,-0.91
14,18.0,0.001780999999937194,-2.8000000000000007,-0.8361161875
15,25.0,0.0024439999997412087,-3.500000000000001,-0.8694999999999999
16,5.0,0.0005760000003647292,-1.5,-0.81243051551875
17,15.0,0.0015199999998003477,-2.5,-0.7427600200000001
18,81.0,0.007767000000058033,-9.099999999999987,-1.0
19,37.0,0.0035640000005514594,-4.700000000000002,-0.91
20,10.0,0.001036999999996624,-2.0,-0.7331513743527062
21,48.0,0.004572000000734988,-5.799999999999999,-0.91
22,40.0,0.003913999999895168,-5.000000000000002,-1.0
23,28.0,0.0026990000005753245,-3.800000000000001,-1.0
24,13.0,0.0013159999998606509,-2.3,-0.91
25,16.0,0.0016000000005078618,-2.6000000000000005,-0.77545
26,28.0,0.002694000000701635,-3.800000000000001,-0.09999999999999998
27,21.0,0.0020559999993565725,-3.1000000000000005,-0.91
28,55.0,0.005213999999796215,-6.4999999999999964,-0.8694999999999999
29,36.0,0.003447999999480089,-4.600000000000001,-0.91
30,35.0,0.003388000000086322,-4.500000000000002,-1.0
31,13.0,0.001344000000244705,-2.3,-0.09999999999999998
32,21.0,0.002064000000245869,-3.1000000000000005,-0.832703275
33,27.0,0.002627000000757107,-3.700000000000001,-0.832513501
34,12.0,0.0012289999995118706,-2.2,-0.8211760754499999
35,72.0,0.006838999999672524,-8.19999999999999,-0.8618766103171014
36,30.0,0.00546200000007957,-4.000000000000002,-0.91
37,50.0,0.00577900000007503,-5.999999999999998,-0.798283718029306
38,36.0,0.0034750000004351023,-4.600000000000001,-0.8605
39,71.0,0.006710999999995693,-8.09999999999999,-0.09099999999999997
40,30.0,0.002892999999858148,-4.000000000000002,-0.08694999999999997
41,38.0,0.003635999999460182,-4.8000000000000025,-0.85555
42,116.0,0.010932000000138942,-12.599999999999975,-0.09099999999999997
43,18.0,0.001780999999937194,-2.8000000000000007,-0.8067463639743747
44,6.0,0.000669999999445281,-1.6,-0.8009707950163303
45,97.0,0.009108999999625667,-10.699999999999982,-0.5877872791203146
46,29.0,0.002801999999974214,-3.9000000000000012,-0.09999999999999998
47,11.0,0.001134000000092783,-2.0999999999999996,-0.8016870633358626
48,26.0,0.0025130000003628084,-3.600000000000001,-0.7974325461293851
49,41.0,0.003920000000107393,-5.100000000000001,-0.009099999999999997
50,28.0,0.0027179999997315463,-3.800000000000001,-0.7976706383038342
51,21.0,0.0020530000001599547,-3.1000000000000005,-0.7579315077393898
52,59.0,0.00557200000002922,-6.899999999999995,-0.08009707950163303
53,12.0,0.0012319999996179831,-2.2,-0.7724300416327601
54,11.0,0.001134999999521824,-2.0999999999999996,-0.07754499999999998
55,16.0,0.0016720000003260793,-2.6000000000000005,-0.6687352785162786
56,31.0,0.0029789999998683925,-4.100000000000001,-0.8340627284745343
57,25.0,0.0024519999997210107,-3.500000000000001,-0.7838092297848988
58,11.0,0.0011249999997744453,-2.0999999999999996,-0.803112179299242
59,119.0,0.01109199999973498,-12.899999999999974,-0.8043555596224277
60,50.0,0.004711999999926775,-5.999999999999998,-0.09099999999999997
