episode,length,time,reward,delta
0,500.0,0.04825100000016391,-3273.0,-0.6871189189653506
1,500.0,0.04759099999864702,-2679.0,-0.9509847636653657
2,500.0,0.04791000000113854,-2778.0,-0.8382624076382488
3,500.0,0.047832000000198605,-3075.0,-0.6839734059299423
4,320.0,0.030542000000423286,-1606.0,100.00015992263296
5,500.0,0.047667000000728876,-2778.0,-0.07858127592952702
6,444.0,0.04226799999923969,-2324.0,90.00014393036967
7,500.0,0.0476490000000922,-2679.0,-0.2258828223709024
8,40.0,0.003925000000890577,-39.0,81.0001295373327
9,62.0,0.005995999999868218,-160.0,72.90011658359944
10,227.0,0.021655000000464497,-919.0,65.61010492523948
11,20.0,0.0020039999999426072,80.0,59.04909443271554
12,500.0,0.04775300000073912,-2976.0,-0.13270154349798347
13,21.0,0.0021130000004632166,-20.0,53.144184989443986
14,171.0,0.016317999999955646,-962.0,47.82976649049959
15,246.0,0.023414999999658903,-1433.0,43.04678984144963
16,61.0,0.005891999999221298,-159.0,38.74211085730467
17,25.0,0.002484000000549713,-123.0,34.8678997715742
18,112.0,0.010770000000775326,-309.0,31.381109794416787
19,64.0,0.006335000000035507,-162.0,28.24299881497511
20,38.0,0.003710000000864966,62.0,25.4186989334776
21,138.0,0.01339900000130001,-731.0,22.876829040129834
22,19.0,0.0019269999993412057,81.0,20.589146136116852
23,28.0,0.0027710000013030367,72.0,18.53023152250516
24,22.0,0.0022050000006856862,78.0,16.677208370254647
25,174.0,0.01656399999956193,-668.0,15.009487533229176
26,94.0,0.008993999999802327,-192.0,13.50853877990626
27,87.0,0.008455000001049484,-284.0,12.15768490191563
28,125.0,0.01194000000032247,-421.0,10.941916411724065
29,18.0,0.0018130000007658964,82.0,9.847724770551665
30,72.0,0.007225999999718624,-269.0,8.862952293496491
31,43.0,0.0041739999996934785,57.0,7.976657064146835
32,19.0,0.001922999999806052,81.0,7.1789913577321585
33,63.0,0.006623999999646912,-161.0,6.4610922219589355
34,44.0,0.004286999999749241,-241.0,5.814982999763046
35,22.0,0.002188999998907093,-21.0,5.233484699786743
36,25.0,0.002491000001100474,75.0,4.710136229808072
37,113.0,0.010797000000820844,-508.0,4.239122606827266
38,16.0,0.0016130000003613532,84.0,3.8152103461445392
39,70.0,0.006724000000758679,-168.0,3.433689311530088
40,25.0,0.0024670000002515735,-24.0,3.0903203803770793
41,15.0,0.001520999998319894,85.0,2.7812883423393657
42,25.0,0.00246300000071642,75.0,2.5031595081054263
43,96.0,0.009195000000545406,-491.0,2.252843557294881
44,44.0,0.004281000001356006,-43.0,2.0275592015653956
45,14.0,0.0014299999984359602,86.0,1.8248032814088617
46,19.0,0.001905000000988366,81.0,1.6423229532679784
47,139.0,0.013202000000092085,-534.0,1.4780906579411806
48,83.0,0.008013000000573811,-379.0,1.3302815921470597
49,41.0,0.003995000000941218,-139.0,1.1972534329323565
50,19.0,0.001900999999634223,81.0,1.0775280896391166
51,39.0,0.003778000000238535,-38.0,0.9697752806752078
52,28.0,0.002755000001343433,-27.0,0.8727977526076813
53,48.0,0.004657999999835738,-344.0,0.7855179773469132
54,20.0,0.001997999999730382,80.0,0.7069661796122233
55,24.0,0.0023789999995642575,76.0,0.6362695616510052
56,19.0,0.0019019999999727588,81.0,0.5726426054859104
57,50.0,0.004838000000745524,-247.0,0.5153783449373179
58,71.0,0.006817000001319684,-367.0,0.463840510443589
59,24.0,0.00237100000049395,76.0,0.4174564593992329
60,14.0,0.0014329999994515674,86.0,0.3757108134593068
61,40.0,0.003899999999703141,-138.0,0.3381397321133761
62,16.0,0.0016180000002350425,84.0,0.3043257589020385
63,22.0,0.0021790000009787036,78.0,0.27389318301183607
64,16.0,0.0016210000012506498,84.0,0.24650386471064678
65,26.0,0.002563000000009197,74.0,0.22185347823958068
66,14.0,0.0014270000010583317,86.0,0.19966813041561693
67,17.0,0.0017150000003312016,-16.0,0.17970131737405382
68,48.0,0.004770999999891501,-47.0,0.16173118563665412
69,14.0,0.0014389999996637926,86.0,0.14555806707298302
70,38.0,0.003776000001380453,-136.0,0.1310022603656904
71,14.0,0.00257199999941804,86.0,0.11790203432911994
72,33.0,0.003802999999606982,-230.0,0.10611183089621079
73,35.0,0.0034399999985907925,-34.0,0.09550064780658829
74,14.0,0.001441000000340864,86.0,0.08595058302593372
75,21.0,0.0021010000000387663,79.0,0.07735552472334462
76,22.0,0.0021830000005138572,-21.0,0.06961997225100447
77,17.0,0.0017109999989770586,83.0,0.06265797502589976
78,19.0,0.0019350000002305023,81.0,0.05639217752330694
79,18.0,0.0018220000001747394,-17.0,0.050752959770974826
80,80.0,0.0076379999991331715,-376.0,0.04567766379388161
81,28.0,0.002754000001004897,-27.0,0.04110989741450055
82,14.0,0.001427999999577878,86.0,0.03699890767305192
83,18.0,0.0018029999991995282,82.0,0.03329901690574388
84,16.0,0.0016250000007858034,84.0,0.029969115215166653
85,32.0,0.003131999999823165,-130.0,0.026972203693645724
86,20.0,0.0020029999996040715,80.0,0.024274983324275468
87,107.0,0.010242000000289408,-700.0,0.021847484991852184
88,19.0,0.001908000000184984,-18.0,0.019662736492662702
89,17.0,0.0017229999994015088,83.0,0.017696462843403538
90,22.0,0.002187999998568557,78.0,0.01592681655905892
91,31.0,0.003039000001081149,-30.0,0.014334134903151607
92,34.0,0.003329999999550637,-33.0,0.012900721412833605
93,47.0,0.004562000000078115,-244.0,0.01161064927154598
94,18.0,0.0019440000014583347,82.0,0.010449584344385698
95,18.0,0.0018299999992450466,-17.0,0.009404625909951392
96,94.0,0.00900299999921117,-489.0,0.008464163318961937
97,15.0,0.0015289999992091907,85.0,0.007617746987065743
98,17.0,0.0017180000013468089,83.0,0.006855972288363432
99,55.0,0.00532299999940733,-252.0,0.006170375059525668
100,44.0,0.004269999999451102,-43.0,0.0055533375535787854
101,15.0,0.0015270000003511086,85.0,0.004998003798220907
102,61.0,0.005884999998670537,-357.0,0.004498203418393132
103,35.0,0.0034070000001520384,-133.0,0.0040483830765509765
104,24.0,0.0023689999998168787,-23.0,0.0036435447688916156
105,16.0,0.001627000001462875,84.0,0.003279190292005296
106,16.0,0.0016190000005735783,84.0,0.0029512712628019244
107,62.0,0.005936999999903492,-358.0,0.002656144136523153
108,92.0,0.00876800000150979,-586.0,0.00239052972287368
109,17.0,0.0017119999993155943,83.0,0.0021514767505834698
110,18.0,0.001802000000679982,82.0,0.0019363290755194384
111,16.0,0.0016240000004472677,84.0,0.0017426961679660735
112,71.0,0.006803000000218162,-367.0,0.0015684265511737294
113,66.0,0.006344000001263339,-263.0,0.0014115838960577776
114,14.0,0.0014370000008057104,86.0,0.0012704255064477366
115,26.0,0.0025569999997969717,-25.0,0.001143382955802963
116,24.0,0.0023700000001554145,-122.0,0.001029044660228351
117,18.0,0.0018010000003414461,82.0,0.0009261401942097791
118,30.0,0.0029449999983626185,-128.0,0.0008335261747873801
119,31.0,0.0030430000006163027,-129.0,0.000750173557307221
120,14.0,0.0014299999984359602,86.0,0.0006751562015807622
121,15.0,0.0015260000000125729,85.0,0.0006076405814212649
122,52.0,0.00798199999917415,-249.0,0.000546876523273454
123,15.0,0.0028529999999591382,85.0,0.0004921888709503719
124,14.0,0.0023020000007818453,86.0,0.00044296998385107145
125,16.0,0.0019720000000233995,84.0,0.0003986729854688065
126,34.0,0.0033230000008188654,-132.0,0.00035880568692903125
127,70.0,0.006699000001390232,-366.0,0.0003229251182403914
128,66.0,0.006317000001217821,-362.0,0.0002906326064220366
129,51.0,0.004899999999906868,-149.0,0.000261569345781254
130,45.0,0.004356999999799882,-44.0,0.00023541241120028644
131,48.0,0.004607999999279855,-146.0,0.0002118711700802578
132,19.0,0.0019069999998464482,81.0,0.00019068405306654768
