params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.5217719999999417,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",3.465675000000033,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",2.266051999999945,100,5.313490196078432,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.3}",2.190278000000035,100,5.3134901960784315,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.4}",2.2034249999999247,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.5}",2.1452699999999822,100,5.281803921568627,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.6}",2.1916749999999183,100,5.337254901960787,5.337254901960785,4.9411764705882355,5.733333333333333,0.3960784313725489
"{""discount_factor"": 0.7}",2.207808,100,5.337254901960785,5.337254901960785,4.9411764705882355,5.733333333333333,0.3960784313725489
"{""discount_factor"": 0.8}",2.2767780000000357,100,5.329333333333334,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39599920776312103
"{""discount_factor"": 0.9}",2.3129480000000058,100,5.28972549019608,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394544
