step,reward,mean,median,std,max,min
31,-0.1111111111111111,-0.08780054523208478,-0.08511066398390338,0.01313767480031355,-0.06764705882352942,-0.1183673469387755
32,-0.09285714285714285,-0.08795377546314714,-0.08571428571428569,0.012966093695762529,-0.06764705882352942,-0.1183673469387755
33,-0.118,-0.08883748794952517,-0.08598214285714284,0.013745769096801586,-0.06764705882352942,-0.1183673469387755
34,-0.08990825688073394,-0.0888680813475597,-0.08624999999999998,0.013549152321162102,-0.06764705882352942,-0.1183673469387755
35,-0.10538922155688621,-0.08932700190892989,-0.08721102150537632,0.013632731939311762,-0.06764705882352942,-0.1183673469387755
36,-0.08641975308641975,-0.08924842761642961,-0.08641975308641975,0.013455505600135576,-0.06764705882352942,-0.1183673469387755
37,-0.0905982905982906,-0.08928395032647858,-0.0872958980485862,0.013279037223961844,-0.06764705882352942,-0.1183673469387755
38,-0.08764044943820223,-0.08924180927806125,-0.08764044943820223,0.013110261552421447,-0.06764705882352942,-0.1183673469387755
39,-0.07499999999999997,-0.0888857640461097,-0.08703010126231099,0.013134913174596889,-0.06764705882352942,-0.1183673469387755
40,-0.09395604395604393,-0.08900942940976664,-0.08764044943820223,0.012997296608708096,-0.06764705882352942,-0.1183673469387755
41,-0.08910891089108909,-0.08901179801646479,-0.08790624622447746,0.012841643702698875,-0.06764705882352942,-0.1183673469387755
42,-0.10671641791044774,-0.0894235333628365,-0.08817204301075267,0.012968918203834053,-0.06764705882352942,-0.1183673469387755
43,-0.08888888888888888,-0.08941138235206496,-0.08817204301075267,0.012820944726116135,-0.06764705882352942,-0.1183673469387755
44,-0.09214285714285714,-0.08947208179186035,-0.08817204301075267,0.012684081534680147,-0.06764705882352942,-0.1183673469387755
45,-0.08307692307692306,-0.0893330566024052,-0.08817204301075267,0.01258007012825715,-0.06764705882352942,-0.1183673469387755
46,-0.08720930232558137,-0.08928787034119617,-0.08817204301075267,0.012449292837798059,-0.06764705882352942,-0.1183673469387755
47,-0.09214285714285714,-0.08934734923289743,-0.08817204301075267,0.012325677018056678,-0.06764705882352942,-0.1183673469387755
48,-0.11232876712328767,-0.08981635776127272,-0.08817204301075267,0.01262459387670378,-0.06764705882352942,-0.1183673469387755
49,-0.07105263157894738,-0.08944108323762621,-0.08817204301075267,0.012770805792019547,-0.06764705882352942,-0.1183673469387755
50,-0.09147286821705425,-0.08948092215879147,-0.08817204301075267,0.012648119471905236,-0.06764705882352942,-0.1183673469387755
51,-0.09515418502202644,-0.08959002336769983,-0.08841591841259283,0.012550121196651646,-0.06764705882352942,-0.1183673469387755
52,-0.1115384615384615,-0.09000414484261986,-0.08865979381443298,0.012784817650710592,-0.06764705882352942,-0.1183673469387755
53,-0.08358208955223878,-0.08988521789279799,-0.08841591841259283,0.012695443804976633,-0.06764705882352942,-0.1183673469387755
54,-0.09017857142857144,-0.08989055159344843,-0.08865979381443298,0.012579562310296133,-0.06764705882352942,-0.1183673469387755
55,-0.09349112426035501,-0.0899548475339289,-0.08877434135166093,0.012475854506125058,-0.06764705882352942,-0.1183673469387755
56,-0.08842105263157891,-0.08992793885143154,-0.08865979381443298,0.012367572349148072,-0.06764705882352942,-0.1183673469387755
57,-0.09202898550724638,-0.08996416379377317,-0.08877434135166093,0.012263541774796539,-0.06764705882352942,-0.1183673469387755
58,-0.08607594936708857,-0.08989826185433783,-0.08865979381443298,0.012169523247742,-0.06764705882352942,-0.1183673469387755
59,-0.08533333333333332,-0.08982217971232109,-0.08854042322300595,0.012081826387474494,-0.06764705882352942,-0.1183673469387755
60,-0.09466019417475728,-0.08990149142482005,-0.08865979381443298,0.011998124446428522,-0.06764705882352942,-0.1183673469387755
61,-0.1134328358208955,-0.09028102923765997,-0.08877434135166093,0.01226458811312956,-0.06764705882352942,-0.1183673469387755
62,-0.11216216216216215,-0.09062834880789017,-0.08888888888888888,0.012470429640024702,-0.06764705882352942,-0.1183673469387755
63,-0.09133858267716535,-0.0906394462120976,-0.08899889988998899,0.012372934373705546,-0.06764705882352942,-0.1183673469387755
64,-0.07755102040816327,-0.09043808581511399,-0.08888888888888888,0.012382617916588918,-0.06764705882352942,-0.1183673469387755
65,-0.08674698795180721,-0.09038216008991237,-0.08877434135166093,0.01229672135198166,-0.06764705882352942,-0.1183673469387755
66,-0.0934131736526946,-0.09042739909831211,-0.08888888888888888,0.012210142236215022,-0.06764705882352942,-0.1183673469387755
67,-0.09251700680272107,-0.09045812862337695,-0.08899889988998899,0.012122639046927574,-0.06764705882352942,-0.1183673469387755
68,-0.10430622009569378,-0.09065882560123661,-0.08910891089108909,0.012147737926682795,-0.06764705882352942,-0.1183673469387755
69,-0.09371428571428568,-0.09070247503142302,-0.08950858388591151,0.01206610512501262,-0.06764705882352942,-0.1183673469387755
70,-0.12093023255813952,-0.0911282180951796,-0.08990825688073394,0.012499132684921262,-0.06764705882352942,-0.12093023255813952
71,-0.09349112426035501,-0.09116103623636258,-0.08990825688073394,0.012415109716983558,-0.06764705882352942,-0.12093023255813952
72,-0.07962962962962959,-0.09100307176229776,-0.08990825688073394,0.012402423611056774,-0.06764705882352942,-0.12093023255813952
73,-0.11525423728813558,-0.09133079021534962,-0.08990825688073394,0.012632561748910087,-0.06764705882352942,-0.12093023255813952
74,-0.09312499999999999,-0.09135471301247829,-0.08990825688073394,0.0125497494665015,-0.06764705882352942,-0.12093023255813952
75,-0.09488372093023255,-0.09140114732718559,-0.089999173485412,0.0124733958494068,-0.06764705882352942,-0.12093023255813952
76,-0.08624999999999998,-0.0913342493099494,-0.08990825688073394,0.01240585095646489,-0.06764705882352942,-0.12093023255813952
77,-0.08450704225352108,-0.09124672101435416,-0.08990825688073394,0.012349976022427479,-0.06764705882352942,-0.12093023255813952
78,-0.08428571428571426,-0.09115860700513088,-0.08990825688073394,0.012296212783894842,-0.06764705882352942,-0.12093023255813952
79,-0.09202898550724638,-0.09116948673640732,-0.08990825688073394,0.012219502417534969,-0.06764705882352942,-0.12093023255813952
80,-0.08382352941176469,-0.0910787959052389,-0.08990825688073394,0.012170900341332985,-0.06764705882352942,-0.12093023255813952
81,-0.08225806451612899,-0.09097122601024975,-0.08950858388591151,0.012135139703789972,-0.06764705882352942,-0.12093023255813952
82,-0.0905982905982906,-0.0909667328125153,-0.08990825688073394,0.012061883550313542,-0.06764705882352942,-0.12093023255813952
83,-0.09312499999999999,-0.09099242646950916,-0.08990825688073394,0.011992156439744512,-0.06764705882352942,-0.12093023255813952
84,-0.08690476190476189,-0.09094433629815919,-0.08990825688073394,0.011929550543986651,-0.06764705882352942,-0.12093023255813952
85,-0.08196721311475406,-0.09083995114486379,-0.08950858388591151,0.01189897232112271,-0.06764705882352942,-0.12093023255813952
86,-0.08103448275862067,-0.09072724461168857,-0.08910891089108909,0.011876470850289367,-0.06764705882352942,-0.12093023255813952
87,-0.1111111111111111,-0.09095887945827293,-0.08950858388591151,0.012004818685590357,-0.06764705882352942,-0.12093023255813952
88,-0.08405797101449272,-0.0908813411611518,-0.08910891089108909,0.011959325523033451,-0.06764705882352942,-0.12093023255813952
89,-0.10517241379310344,-0.09104013085706239,-0.08950858388591151,0.011986674101711411,-0.06764705882352942,-0.12093023255813952
90,-0.08735632183908043,-0.09099964943928236,-0.08910891089108909,0.011926815923628422,-0.06764705882352942,-0.12093023255813952
91,-0.10237467018469656,-0.09112329096912382,-0.08950858388591151,0.011920314245255168,-0.06764705882352942,-0.12093023255813952
92,-0.10873786407766987,-0.09131269498104366,-0.08990825688073394,0.011994431930368914,-0.06764705882352942,-0.12093023255813952
93,-0.08035714285714286,-0.09119614655419366,-0.08950858388591151,0.011983287219003184,-0.06764705882352942,-0.12093023255813952
94,-0.09126984126984126,-0.09119692228804258,-0.08990825688073394,0.011920052806142917,-0.06764705882352942,-0.12093023255813952
95,-0.08333333333333331,-0.09111500990309769,-0.08950858388591151,0.011884653752117206,-0.06764705882352942,-0.12093023255813952
96,-0.08382352941176469,-0.0910398400011252,-0.08910891089108909,0.011846151704255231,-0.06764705882352942,-0.12093023255813952
97,-0.08817204301075267,-0.09101057676652956,-0.08899889988998899,0.011789080656884648,-0.06764705882352942,-0.12093023255813952
98,-0.09385474860335194,-0.0910393057749823,-0.08910891089108909,0.01173283617713304,-0.06764705882352942,-0.12093023255813952
99,-0.08382352941176469,-0.09096714801135013,-0.08899889988998899,0.011696081303335524,-0.06764705882352942,-0.12093023255813952
