params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",6.183382999999935,100,-0.1008922732489768,-0.10000000000000002,-0.11267605633802813,-0.10000000000000002,0.0022017233933721704
"{""discount_factor"": 0.1}",6.302403000000027,100,-0.10041338361318798,-0.10000000000000002,-0.11475409836065571,-0.10000000000000002,0.0016952302786760291
"{""discount_factor"": 0.2}",6.088151000000039,100,-0.10004760121814966,-0.10000000000000002,-0.10272727272727272,-0.10000000000000002,0.00030501014523575467
"{""discount_factor"": 0.3}",6.244749999999954,100,-0.10005117888332109,-0.10000000000000002,-0.10241286863270777,-0.10000000000000002,0.00030974029739032414
"{""discount_factor"": 0.4}",6.119427000000087,100,-0.10008685174152056,-0.10000000000000002,-0.10612244897959182,-0.10000000000000002,0.0006326614834713381
"{""discount_factor"": 0.5}",6.1942379999999275,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.6}",6.545753999999988,100,-0.10003374670184698,-0.10000000000000002,-0.10237467018469656,-0.10000000000000002,0.0002554442110820267
"{""discount_factor"": 0.7}",6.396710999999982,100,-0.09834882418481738,-0.0984613458381997,-0.10000000000000002,-0.0938202247191011,0.0015914584095149628
"{""discount_factor"": 0.8}",6.216868999999974,100,-0.0994413466201812,-0.10000000000000002,-0.10340909090909092,-0.09352941176470587,0.002007873981521938
"{""discount_factor"": 0.9}",6.325781000000006,100,-0.10887629750391752,-0.10804148384523335,-0.15000000000000002,-0.08971962616822429,0.011479726363145459
